iter	A(1)	B(1)	A(1.1)	B(1.1)	A(1.2)	B(1.2)	A(1.3)	B(1.3)	A(1.4)	B(1.4)	A(1.5)	B(1.5)	A(1.6)	B(1.6)	A(1.7)	B(1.7)	A(1.8)	B(1.8)	A(1.9)	B(1.9)	A(1.10)	B(1.10)	LnPrior	LnData	LnPosterior
0	-2.26236	6.94411	-2.22942	7.07388	-2.18613	6.68439	-2.4048	7.03827	-2.31886	6.81526	-2.16235	6.94578	-2.40267	6.51829	-2.27698	7.1794	-2.14139	6.74247	-2.26808	6.87175	-2.22521	6.91389	5.364241e+00	-2.228528e+07	-2.228527e+07
1	-2.26236	6.94411	-2.22942	6.8746	-2.19657	6.68439	-2.4048	7.03827	-2.39797	6.77711	-2.16235	6.94578	-2.40267	6.51829	-2.27698	7.1794	-2.14139	6.66531	-2.26808	6.86141	-2.22521	6.91389	4.203910e+00	-2.200459e+07	-2.200458e+07
2	-2.26236	6.94411	-2.28533	6.8746	-2.25262	6.45268	-2.41673	7.03827	-2.5154	6.77711	-2.16235	6.94578	-2.55471	6.44685	-2.31613	6.66868	-2.14139	6.66531	-2.28105	6.85758	-2.35112	6.80017	-5.291626e+00	-2.117500e+07	-2.117501e+07
3	-2.26236	6.94411	-2.28595	6.83152	-2.25262	6.29931	-2.41673	7.03827	-2.5154	6.77711	-2.46857	6.80923	-2.81043	6.36708	-2.31613	6.66868	-2.14139	6.66531	-2.28105	6.85758	-2.35112	6.51947	-2.323485e+01	-2.057646e+07	-2.057648e+07
4	-2.26236	6.94411	-2.29649	6.83152	-2.30329	6.29931	-2.49014	7.03827	-2.68408	6.77711	-2.46857	6.80923	-2.85102	6.30686	-2.38668	6.66868	-2.14139	6.29084	-2.28457	6.85758	-2.35112	6.50848	-3.877546e+01	-2.018202e+07	-2.018206e+07
5	-2.26236	6.94411	-2.39062	6.83152	-2.37237	6.29931	-2.49014	7.03827	-2.68408	6.77711	-2.50216	6.80912	-2.86456	6.30686	-2.47599	6.51362	-2.14139	6.29084	-2.28457	6.84351	-2.37876	6.50848	-4.481022e+01	-2.000812e+07	-2.000816e+07
6	-2.26236	6.94411	-2.43362	6.66021	-2.37237	6.10906	-2.79918	7.03827	-2.90937	6.77711	-2.50216	6.75361	-2.86456	6.30643	-2.47599	6.20765	-2.14139	6.02689	-2.36091	6.83433	-2.37876	6.50848	-8.403882e+01	-1.917863e+07	-1.917871e+07
7	-2.26236	6.94411	-2.46627	6.32669	-2.37237	6.10906	-2.79918	7.03827	-2.90937	6.45863	-2.50216	6.75361	-2.86456	6.2775	-2.47599	6.20765	-2.15157	5.91103	-2.38351	6.80309	-2.37876	6.48049	-9.484574e+01	-1.852673e+07	-1.852682e+07
8	-2.26236	6.94411	-2.48265	6.32669	-2.43172	5.63677	-2.95893	7.03827	-2.92178	5.809	-2.82968	6.72603	-2.86456	6.2775	-2.55983	5.76829	-2.18851	5.91103	-2.38813	6.80099	-2.37876	6.21376	-1.621995e+02	-1.717855e+07	-1.717871e+07
9	-2.26236	6.94411	-2.48265	6.32669	-2.43953	5.51294	-2.97717	7.03827	-2.92178	5.74804	-2.83628	6.72353	-2.98523	6.2775	-2.55983	4.96281	-2.18851	5.89599	-2.44247	6.79949	-2.42354	6.21376	-2.116601e+02	-1.652451e+07	-1.652472e+07
