iter	A(1)	B(1)	A(1.1)	B(1.1)	A(1.2)	B(1.2)	A(1.3)	B(1.3)	A(1.4)	B(1.4)	A(1.5)	B(1.5)	A(1.6)	B(1.6)	A(1.7)	B(1.7)	A(1.8)	B(1.8)	A(1.9)	B(1.9)	A(1.10)	B(1.10)	LnPrior	LnData	LnPosterior
220	0.0405256	1.23008	-0.0672083	1.16855	0.16477	1.43451	-0.0967032	1.10691	0.216123	1.29125	0.00414595	1.13517	-0.0428289	1.15767	-0.0640403	0.944872	-0.186118	1.06386	0.139563	1.29606	0.0291503	1.26712	4.019145e+00	1.631490e+02	1.671682e+02
240	0.0321538	1.15331	-0.0574796	1.16306	0.176453	1.42849	-0.099984	1.10765	0.227045	1.28977	0.00349261	1.13534	-0.0405007	1.1556	-0.0803483	0.948657	-0.18147	1.06305	0.12694	1.2969	0.045855	1.2653	4.154573e+00	1.629736e+02	1.671282e+02
260	-0.0146138	1.1873	-0.0681548	1.16333	0.164729	1.4321	-0.107898	1.11059	0.211368	1.28677	-0.00533762	1.13615	-0.0331512	1.15636	-0.0710393	0.940175	-0.175277	1.06439	0.0894875	1.29658	0.0204162	1.26416	5.310194e+00	1.651836e+02	1.704938e+02
280	-0.030769	1.12578	-0.0665047	1.1627	0.197041	1.42861	-0.0978642	1.11025	0.182806	1.29229	-0.00103989	1.13525	-0.0251552	1.15261	-0.0475281	0.940698	-0.186961	1.06352	0.0991095	1.29598	0.00403586	1.26552	4.344198e+00	1.624795e+02	1.668237e+02
300	-0.0274619	1.09949	-0.0572287	1.16238	0.182434	1.4311	-0.111693	1.11446	0.201439	1.29101	-0.00357347	1.13537	0.00252919	1.14902	-0.037961	0.939693	-0.19925	1.06459	0.105805	1.29415	-0.00363955	1.26735	3.513562e+00	1.633260e+02	1.668395e+02
320	-0.0181284	1.05939	-0.0519393	1.16368	0.129319	1.43782	-0.111223	1.1146	0.208149	1.29344	-0.000471271	1.13482	0.00109417	1.15214	-0.0559042	0.94188	-0.194784	1.06784	0.117595	1.29425	0.000542268	1.2679	3.322429e+00	1.659340e+02	1.692564e+02
340	0.00359476	1.0831	-0.00212521	1.16013	0.15465	1.43449	-0.0848574	1.11068	0.214847	1.29007	-0.00683782	1.1353	-0.0169592	1.15365	-0.0691913	0.941614	-0.194227	1.06627	0.125329	1.29303	0.0278429	1.26533	4.036013e+00	1.659691e+02	1.700051e+02
360	0.00699791	1.08905	-0.0353735	1.16599	0.15749	1.43531	-0.0998998	1.11577	0.187908	1.29453	0.00952006	1.13501	-0.0145021	1.15097	-0.0624847	0.939245	-0.193162	1.06558	0.0908242	1.29476	0.0166284	1.26965	4.836789e+00	1.631510e+02	1.679878e+02
380	-0.00846736	1.08019	-0.0517329	1.16696	0.144669	1.4339	-0.0997563	1.11414	0.203674	1.29319	0.00271187	1.13555	-0.0327557	1.15212	-0.0789536	0.945085	-0.197973	1.06456	0.117918	1.29223	0.0110101	1.26859	3.888610e+00	1.644627e+02	1.683513e+02
400	-0.0350602	1.14594	-0.0585891	1.1669	0.170052	1.42912	-0.0891055	1.10927	0.228746	1.28915	-0.00951333	1.13655	-0.0224187	1.15413	-0.101206	0.945616	-0.185127	1.06521	0.120487	1.29164	0.027811	1.26408	3.442608e+00	1.690026e+02	1.724452e+02
420	0.00697423	1.19683	-0.0880964	1.17024	0.165215	1.43113	-0.0951261	1.11011	0.237685	1.28583	0.013915	1.13554	-0.0157858	1.15291	-0.0825178	0.943568	-0.165689	1.06376	0.124987	1.29234	0.0282815	1.26718	4.615081e+00	1.694697e+02	1.740847e+02
440	0.030496	1.13246	-0.0801022	1.16994	0.146492	1.43367	-0.0909454	1.11024	0.246381	1.28397	0.00892351	1.13544	-0.00309654	1.15176	-0.0790863	0.943279	-0.167859	1.06417	0.131826	1.29094	0.0256543	1.26768	4.286652e+00	1.686487e+02	1.729354e+02
460	0.0290391	1.10647	-0.0574021	1.16545	0.169228	1.43101	-0.0875574	1.1115	0.247842	1.28127	0.0213838	1.13546	0.0163441	1.15053	-0.0471618	0.940696	-0.162628	1.06369	0.131557	1.29248	0.0325118	1.26692	4.306655e+00	1.655693e+02	1.698759e+02
480	0.0134473	1.23634	-0.0845828	1.16989	0.210213	1.42343	-0.0698423	1.10676	0.236774	1.28539	0.0116461	1.1361	-0.00942811	1.15187	-0.0774965	0.947413	-0.147602	1.06017	0.144401	1.28955	0.0190478	1.26609	4.020134e+00	1.656180e+02	1.696381e+02
500	-0.0385423	1.19352	-0.0709285	1.17198	0.1663	1.43089	-0.0913227	1.11095	0.208212	1.28996	-0.00314717	1.13545	-0.00716622	1.15334	-0.0732645	0.946272	-0.172914	1.06365	0.119419	1.29332	0.0140012	1.26878	4.359344e+00	1.667388e+02	1.710981e+02
520	-0.0319867	1.19091	-0.0824255	1.17484	0.145723	1.43593	-0.0940965	1.11026	0.192898	1.29467	0.00820228	1.13473	-0.0257951	1.15527	-0.072058	0.946124	-0.174264	1.0655	0.106296	1.29478	0.0126329	1.27044	5.455271e+00	1.649865e+02	1.704418e+02
540	-0.0139414	1.22079	-0.0766121	1.16775	0.161926	1.43438	-0.0894459	1.10531	0.207664	1.28974	-0.00427102	1.1355	-0.0355247	1.15851	-0.0878435	0.9449	-0.172243	1.06636	0.0881412	1.29667	0.0637975	1.26355	5.122239e+00	1.657847e+02	1.709069e+02
560	0.0188234	1.27842	-0.0310291	1.16339	0.158165	1.43558	-0.0590737	1.10467	0.219688	1.28791	0.00910625	1.1351	-0.0270958	1.15844	-0.0675278	0.945273	-0.177073	1.06774	0.113918	1.29575	0.0573551	1.26158	4.715207e+00	1.654390e+02	1.701542e+02
580	0.0204467	1.28037	-0.0375576	1.15855	0.171879	1.4325	-0.0726802	1.10537	0.193454	1.29015	0.0210254	1.13373	-0.0293595	1.15677	-0.0513007	0.941947	-0.177682	1.06661	0.08511	1.29851	0.0547839	1.26217	5.111112e+00	1.645125e+02	1.696236e+02
600	-0.017613	1.19919	-0.0638083	1.16881	0.173463	1.42881	-0.0592782	1.10377	0.214806	1.28613	0.0012407	1.1355	-0.019508	1.15726	-0.09239	0.94515	-0.169448	1.06559	0.109668	1.29422	0.0563808	1.25971	4.904209e+00	1.659646e+02	1.708688e+02
620	0.00662176	1.16038	-0.0260554	1.16138	0.150116	1.43386	-0.0833658	1.10879	0.240437	1.2844	-0.000542329	1.13426	0.0119882	1.15252	-0.0609685	0.943887	-0.181044	1.06579	0.11972	1.29554	0.0350102	1.26489	5.171544e+00	1.660976e+02	1.712692e+02
640	-0.00803236	1.20724	-0.105177	1.17374	0.138622	1.43397	-0.0800513	1.1098	0.225743	1.29013	0.000788733	1.13523	0.0161832	1.15322	-0.085267	0.946561	-0.191615	1.06893	0.115773	1.29725	0.0295284	1.26687	4.708803e+00	1.639467e+02	1.686555e+02
