iter	A(1)	B(1)	A(1.1)	B(1.1)	A(1.2)	B(1.2)	A(1.3)	B(1.3)	A(1.4)	B(1.4)	A(1.5)	B(1.5)	A(1.6)	B(1.6)	A(1.7)	B(1.7)	A(1.8)	B(1.8)	A(1.9)	B(1.9)	A(1.10)	B(1.10)	LnPrior	LnData	LnPosterior
0	-14.5144	7.31139	-14.5594	1.1687	-14.3811	7.26615	-14.4549	7.37726	-14.4495	7.46384	-14.6442	7.0265	-14.4673	7.19838	-14.5788	7.5114	-14.5135	7.03077	-14.7273	7.28215	-14.3967	7.55332	-4.678800e+02	-1.299077e+07	-1.299124e+07
1	-14.5144	7.31139	-14.5511	1.1687	-14.3811	7.2052	-14.4549	7.12272	-14.4495	7.34502	-14.7349	7.0265	-14.4999	7.02671	-14.6308	7.5114	-14.5135	7.03077	-14.9161	7.11755	-14.3967	7.55332	-4.771492e+02	-1.249852e+07	-1.249900e+07
2	-14.5144	7.31139	-14.5511	1.1687	-14.4107	7.18542	-14.4549	7.12272	-14.4495	7.34502	-14.79	7.0265	-14.5781	6.5433	-14.6308	7.4322	-14.5437	7.03077	-14.9161	7.11755	-14.4068	7.55332	-4.843874e+02	-1.215537e+07	-1.215586e+07
3	-14.5144	7.31139	-14.5511	1.1687	-14.4239	7.18542	-14.4549	6.954	-14.4495	7.34502	-14.79	7.0265	-14.5781	6.30414	-14.6308	7.0897	-14.5437	7.03077	-15.1424	7.07073	-14.4068	7.30963	-5.023237e+02	-1.151872e+07	-1.151923e+07
4	-14.5144	7.31139	-14.4915	1.1687	-14.6066	7.16985	-14.4549	6.954	-14.4667	7.34502	-14.8153	6.81225	-14.5894	6.30414	-14.6308	7.0897	-14.6535	7.03077	-15.1589	6.90947	-14.4068	7.03808	-5.093675e+02	-1.111395e+07	-1.111446e+07
5	-14.5144	7.31139	-14.445	1.1687	-14.6066	7.15143	-14.4549	6.954	-14.4667	7.03337	-14.8543	6.7751	-14.5894	6.20288	-14.6409	7.0897	-14.831	7.03077	-15.3155	6.71343	-14.4106	6.90935	-5.340008e+02	-1.065472e+07	-1.065526e+07
6	-14.5144	6.56212	-14.445	1.1687	-14.7097	7.15143	-14.5151	6.83923	-14.4667	7.03337	-14.8543	6.7751	-14.6006	5.83936	-14.6409	7.01398	-14.831	7.03077	-15.3155	6.67395	-14.4106	6.63102	-4.180662e+02	-1.020837e+07	-1.020879e+07
7	-14.7521	6.56212	-14.4431	1.1687	-14.8027	7.13117	-14.5151	6.83923	-14.5726	6.56515	-14.8571	5.55188	-14.6257	5.74504	-14.6748	7.01398	-14.9146	7.01174	-15.3155	6.67395	-14.4106	6.57976	-4.159005e+02	-9.309533e+06	-9.309949e+06
8	-14.7521	6.56212	-14.4259	1.1687	-14.8526	7.13117	-14.5151	6.83923	-14.5845	6.48662	-14.8571	5.37006	-14.6257	5.74504	-14.6748	7.01398	-14.9146	7.01174	-15.3321	6.67395	-14.42	6.47464	-4.224170e+02	-9.152341e+06	-9.152764e+06
9	-14.7521	6.56212	-14.4259	1.1687	-15.0617	7.13117	-14.6017	6.83923	-14.5845	6.09645	-14.8571	4.85916	-14.6257	5.74504	-14.7089	6.95096	-14.9146	6.95174	-15.5041	6.67395	-14.4292	6.39367	-4.560728e+02	-8.691462e+06	-8.691918e+06
10	-14.7521	6.56212	-14.4259	1.1687	-15.1253	7.13117	-14.8724	6.83923	-14.5845	5.72123	-15.0269	4.85916	-14.6284	5.74504	-14.7089	6.95096	-14.9322	6.95174	-15.5179	6.62889	-14.4355	6.26365	-4.689564e+02	-8.439745e+06	-8.440214e+06
11	-14.7521	6.56212	-14.3527	1.1687	-15.1253	7.13117	-14.8724	6.43014	-14.5845	5.68583	-15.1353	4.85916	-14.6472	5.65506	-14.7089	6.95096	-15.0249	6.95174	-15.5179	6.62889	-14.4355	6.26365	-4.790239e+02	-8.165138e+06	-8.165617e+06
12	-14.7521	6.56212	-14.3459	1.1687	-15.1253	7.07368	-15.0791	6.24009	-14.5845	5.28907	-15.1791	4.85916	-14.6472	5.61852	-14.7089	6.95096	-15.0249	6.95174	-15.6103	6.62889	-14.4355	6.26365	-5.050068e+02	-7.887075e+06	-7.887580e+06
13	-14.7521	6.56212	-14.3459	1.1687	-15.1653	6.94903	-15.0791	6.24009	-14.67	4.88433	-15.2413	4.43669	-14.6472	5.61852	-14.7089	6.88111	-15.2252	6.8922	-15.6103	6.62889	-14.4355	6.26365	-5.484194e+02	-7.537466e+06	-7.538014e+06
14	-14.7521	6.56212	-14.3459	1.1687	-15.1653	6.94903	-15.5584	5.80998	-14.7614	4.88433	-15.4892	4.43669	-14.6892	5.61852	-14.7273	6.88111	-15.2395	6.7988	-15.6103	6.62889	-14.4434	6.26365	-5.955919e+02	-7.277687e+06	-7.278282e+06
15	-14.7521	6.56212	-14.2904	1.1687	-15.2188	6.94903	-15.8183	5.80998	-14.9297	4.88433	-15.5111	4.43669	-14.7289	5.60938	-14.7273	6.88111	-15.5677	6.78254	-15.6103	6.62889	-14.449	6.17442	-6.498375e+02	-7.187234e+06	-7.187884e+06
16	-14.7521	6.56212	-14.2904	1.1687	-15.2188	6.91395	-16.0518	5.80998	-15.1411	4.88433	-15.5111	4.43669	-14.7395	5.3692	-14.7351	6.59292	-15.6095	6.75759	-15.6103	6.31853	-14.46	6.17442	-6.919915e+02	-6.754776e+06	-6.755468e+06
17	-14.7521	6.56212	-14.2904	1.1687	-15.2188	6.91395	-16.0518	5.80998	-15.187	4.58041	-15.647	4.40443	-14.7395	5.3692	-14.7351	6.59292	-15.7313	6.75759	-15.6103	6.17042	-14.4687	6.17442	-7.328646e+02	-6.621372e+06	-6.622105e+06
18	-14.7521	6.56212	-14.2467	1.1687	-15.2188	6.91395	-16.263	5.80998	-15.187	4.58041	-15.6747	4.16103	-14.7395	5.3692	-14.7672	6.59292	-15.7575	6.75759	-15.6103	6.17042	-14.473	6.17442	-7.835221e+02	-6.574005e+06	-6.574789e+06
19	-14.7521	6.56212	-14.2467	1.1687	-15.2229	6.82614	-16.263	5.80998	-15.252	4.58041	-15.6747	3.9434	-14.8132	5.3692	-14.7917	6.32682	-15.7575	6.64239	-15.6103	6.17042	-14.4771	6.06697	-8.013320e+02	-6.256850e+06	-6.257651e+06
20	-14.7521	6.56212	-14.2467	1.1687	-15.2777	6.82614	-16.2929	5.80998	-15.252	4.58041	-15.6747	3.9434	-14.8132	5.3692	-14.7917	6.26874	-15.8024	6.58062	-15.6103	6.13065	-14.4771	6.06697	-8.139605e+02	-6.174075e+06	-6.174889e+06
21	-14.7521	6.56212	-14.2467	1.1687	-15.2777	6.77306	-16.6506	5.80998	-15.252	4.167	-15.2049	3.9434	-14.8132	5.3692	-14.8113	6.26874	-15.8024	6.58062	-15.6843	6.13065	-14.4784	5.78654	-8.766117e+02	-5.962884e+06	-5.963761e+06
22	-14.7521	6.56212	-14.158	1.1687	-15.2777	6.77306	-16.6506	4.60774	-15.252	3.73007	-15.2049	3.70408	-14.9492	5.3692	-14.8113	6.1351	-15.964	6.58062	-16.2338	6.13065	-14.4784	5.78654	-1.054657e+03	-5.490453e+06	-5.491508e+06
23	-14.7521	6.56212	-14.158	1.1687	-15.4255	6.57389	-17.0478	4.03938	-15.252	3.73007	-15.2049	3.65379	-15.004	5.3692	-14.8113	6.1351	-16.3371	6.54837	-16.4924	6.13065	-14.4784	5.78654	-1.276754e+03	-5.272088e+06	-5.273365e+06
24	-14.7521	6.56212	-14.1072	1.1687	-15.4255	6.57389	-17.0478	3.57721	-15.2309	3.73007	-15.0105	3.65379	-15.0538	5.04302	-14.8113	6.1351	-16.3371	6.54837	-16.4924	6.13065	-14.4784	5.78654	-1.316211e+03	-5.149812e+06	-5.151128e+06
25	-14.7521	6.56212	-14.1072	1.1687	-15.4255	6.57389	-16.9285	3.57721	-15.0518	3.73007	-14.7149	3.65379	-15.0957	5.04302	-14.8113	6.1351	-16.3371	6.54837	-16.6028	6.07892	-14.4871	5.78654	-1.300814e+03	-5.117875e+06	-5.119176e+06
26	-14.7521	4.3434	-14.1072	1.1687	-15.4255	6.41161	-16.7525	3.50015	-14.6269	3.73007	-14.6227	3.65379	-15.0957	4.39552	-14.8358	6.1351	-16.6817	6.54837	-17.3525	5.57382	-14.5045	5.07003	-1.091076e+03	-4.466163e+06	-4.467254e+06
27	-14.8307	4.3434	-14.0538	1.1687	-15.5893	6.21258	-16.7525	3.50015	-14.374	3.73007	-13.5173	3.65379	-15.1364	4.39552	-14.8738	6.1351	-16.6817	6.54837	-17.6773	5.27218	-14.5045	4.76113	-1.216795e+03	-4.209454e+06	-4.210671e+06
28	-14.8307	4.3434	-14.0538	1.1687	-15.5893	6.04032	-16.7525	3.50015	-14.0892	3.73007	-13.3267	3.65379	-15.3901	4.39552	-14.9201	5.84478	-16.6817	6.46103	-18.1538	5.27218	-14.5045	4.09945	-1.393202e+03	-3.850615e+06	-3.852008e+06
29	-15.4926	4.3434	-14.0538	1.1687	-15.6841	6.04032	-16.7525	3.50015	-14.0892	3.69617	-13.3267	3.65379	-15.3901	4.39552	-14.9201	5.84478	-17.1548	6.3324	-18.1538	4.59412	-14.5068	4.09945	-1.323694e+03	-3.659162e+06	-3.660486e+06
30	-15.4926	4.3434	-13.8769	1.1687	-15.6841	6.00847	-16.7525	3.50015	-14.0892	3.42836	-13.3267	3.65379	-15.3901	4.39552	-14.9201	5.66764	-17.1548	6.2359	-18.1538	4.59412	-14.5068	3.52161	-1.351360e+03	-3.470875e+06	-3.472226e+06
31	-15.4926	4.3434	-13.8769	1.1687	-15.7926	5.78565	-16.7525	3.50015	-14.0892	3.32766	-13.2601	2.61502	-15.5113	4.39552	-14.9379	5.66764	-17.5688	6.2359	-18.1538	4.57292	-14.4929	3.52161	-1.470955e+03	-3.355608e+06	-3.357079e+06
32	-15.4926	4.3434	-13.8769	1.1687	-15.7926	5.50928	-16.21	3.50015	-13.8241	3.32766	-13.2601	2.61502	-15.5113	3.93597	-15.0912	4.92563	-17.5688	6.2359	-18.1538	4.57292	-14.4742	3.52161	-1.427933e+03	-2.943006e+06	-2.944434e+06
33	-15.4926	4.3434	-13.8769	1.1687	-15.7926	5.50928	-16.21	3.50015	-13.8241	3.32766	-12.981	2.61502	-15.4601	3.93597	-15.0912	4.92563	-17.5688	6.2359	-18.1538	4.35878	-14.4742	3.18415	-1.501884e+03	-2.916226e+06	-2.917728e+06
34	-15.4926	4.3434	-13.8698	1.1687	-15.9807	5.50928	-16.0208	3.50015	-13.61	3.22987	-12.9125	2.61502	-15.4601	3.93597	-15.0912	4.80961	-17.5688	6.10848	-17.8711	4.35878	-14.4742	3.18415	-1.478129e+03	-2.816704e+06	-2.818183e+06
35	-15.4926	4.3434	-13.8698	1.1687	-16.0452	4.96184	-15.5657	3.50015	-13.61	3.22987	-12.3123	2.66601	-15.4601	3.48373	-15.0912	4.80961	-17.5688	6.10848	-17.7119	4.35878	-14.4742	3.29535	-1.593778e+03	-2.638971e+06	-2.640565e+06
36	-15.4926	4.3434	-13.8048	1.1687	-16.0626	4.95565	-15.5657	3.50015	-13.4046	3.22987	-12.3123	2.66601	-15.4342	3.23135	-15.1572	4.75502	-17.6201	6.10848	-17.7119	4.35878	-14.4572	3.29535	-1.662043e+03	-2.612157e+06	-2.613819e+06
37	-15.4926	4.3434	-13.7973	1.1687	-16.0626	4.80773	-15.4478	3.50015	-13.4046	3.22987	-12.3123	2.66601	-15.4342	3.2587	-15.3285	4.75502	-17.7101	6.10848	-17.7119	4.35878	-14.4566	3.29535	-1.675726e+03	-2.577666e+06	-2.579341e+06
38	-15.4926	4.3434	-13.7678	1.1687	-16.0626	4.80773	-15.3121	3.50015	-13.1734	3.22987	-11.8825	2.93605	-15.4342	3.2587	-15.4453	4.57892	-17.7101	5.86685	-17.5057	4.35878	-14.4524	3.29535	-1.812963e+03	-2.424699e+06	-2.426512e+06
39	-15.4926	4.3434	-13.7678	1.1687	-16.0626	4.80773	-14.6074	3.50015	-12.7401	3.22987	-11.787	2.93605	-15.4342	3.2587	-15.4453	4.57892	-17.7101	5.86685	-17.5009	4.35878	-14.4382	3.29535	-1.995861e+03	-2.407520e+06	-2.409515e+06
40	-15.4926	3.46056	-13.4532	1.1687	-16.1701	4.71686	-14.6074	3.48475	-12.6948	3.22987	-11.787	2.93605	-15.2575	3.2587	-15.4453	4.57892	-17.7101	5.86685	-17.4208	4.35878	-14.4272	3.29535	-2.014762e+03	-2.368434e+06	-2.370449e+06
41	-15.3815	3.46056	-13.4532	1.1687	-16.1701	4.71686	-14.6074	3.16663	-12.6948	3.22987	-11.6283	2.93605	-15.2575	3.2587	-15.4453	3.8018	-17.9262	5.52998	-17.4208	4.35878	-14.4272	3.29535	-2.033826e+03	-2.118851e+06	-2.120885e+06
42	-15.3815	3.46056	-13.4212	1.1687	-16.1701	4.71686	-14.6074	3.16663	-12.6282	3.17483	-11.6283	2.93605	-15.1094	3.2587	-15.3844	3.8018	-18.3173	5.35781	-17.2751	4.29643	-14.4173	3.29535	-2.130848e+03	-2.050333e+06	-2.052463e+06
43	-15.3815	3.46056	-13.4212	1.1687	-16.1701	4.71686	-14.6074	3.16663	-12.4926	3.17483	-11.4404	2.93605	-15.1094	3.26994	-15.3801	3.41064	-18.4846	5.35781	-17.2751	4.27446	-14.4173	3.29535	-2.289966e+03	-2.013305e+06	-2.015595e+06
44	-15.3815	3.46056	-13.3575	1.1687	-16.1701	4.71686	-14.6074	3.16663	-12.4038	3.12139	-11.4404	2.93605	-15.1094	3.26994	-15.3801	3.01018	-18.6379	5.35781	-17.2751	4.27446	-14.4173	3.29535	-2.380372e+03	-2.000790e+06	-2.003170e+06
45	-15.3815	3.46056	-13.3575	1.1687	-16.2071	4.47478	-14.3316	3.16663	-12.4038	3.12139	-11.2343	2.93605	-15.1094	3.26994	-15.2152	3.01018	-18.6379	5.35781	-17.0838	4.18944	-14.4144	3.29535	-2.450629e+03	-1.951017e+06	-1.953468e+06
46	-15.3815	3.46056	-13.2469	1.1687	-16.2071	4.47478	-14.134	3.16663	-12.4038	3.12139	-10.5671	2.55201	-15.1094	3.26994	-15.1943	3.01018	-18.6379	5.35781	-17.0838	4.07178	-14.4107	3.29535	-2.800928e+03	-1.922363e+06	-1.925164e+06
47	-15.3815	3.46056	-13.0742	1.1687	-16.2071	4.47478	-14.134	3.16663	-12.3889	3.12139	-10.3302	2.55201	-15.1094	3.26994	-15.1943	3.10758	-18.6445	5.35293	-17.0838	3.95597	-14.4005	3.29535	-2.960920e+03	-1.901782e+06	-1.904743e+06
48	-15.3815	3.46056	-13.0543	1.1687	-16.2071	4.00112	-13.8626	3.03023	-12.337	3.12139	-9.97414	2.55201	-15.0748	3.26994	-15.1072	3.10758	-18.6445	5.35293	-16.6676	3.95597	-14.3814	3.29535	-3.139668e+03	-1.846777e+06	-1.849916e+06
49	-15.3815	3.46056	-12.9719	1.1687	-16.2071	4.00112	-13.7687	3.03023	-11.7861	3.09139	-9.93378	2.55201	-15.0748	3.26994	-15.1072	3.10758	-18.6445	5.35293	-16.6676	3.95597	-14.3814	3.29535	-3.378971e+03	-1.831816e+06	-1.835195e+06
50	-15.3815	3.46056	-12.9719	1.1687	-16.2071	4.00112	-13.7139	3.03023	-11.7707	3.09139	-9.93378	2.55201	-15.0748	3.26994	-15.1072	3.10758	-18.6445	5.32538	-16.6676	3.95597	-14.3814	3.29535	-3.392220e+03	-1.823700e+06	-1.827093e+06
51	-15.3815	3.46056	-12.9153	1.1687	-15.9063	3.77887	-13.4903	3.03023	-11.6065	3.09139	-9.83628	2.55201	-15.0748	3.26994	-15.1072	3.10758	-18.7881	5.32538	-16.4975	3.95597	-14.3814	3.29535	-3.564785e+03	-1.799054e+06	-1.802618e+06
52	-15.3815	3.46056	-12.9153	1.1687	-15.9063	3.77887	-13.4903	3.03023	-10.9818	3.09139	-9.83628	2.55201	-14.8956	3.26994	-15.1072	3.10758	-18.7881	5.23767	-16.4975	3.95597	-14.3583	3.29535	-3.825570e+03	-1.767223e+06	-1.771048e+06
53	-15.3815	3.46056	-12.9153	1.1687	-15.8966	3.77887	-13.4903	3.03023	-10.9818	3.09139	-9.83628	2.55201	-14.5985	3.26994	-15.1072	3.10758	-18.7881	5.23767	-16.4975	3.95597	-14.3583	3.29535	-3.843917e+03	-1.761610e+06	-1.765454e+06
54	-14.4381	3.46056	-12.6795	1.1687	-15.8966	3.77887	-13.4903	3.03023	-10.8343	3.09139	-9.83628	2.55201	-14.4873	3.26994	-14.8796	3.10758	-19.5474	5.23767	-16.4975	3.95597	-14.3583	3.29535	-3.654532e+03	-1.734740e+06	-1.738395e+06
55	-14.2117	3.15902	-12.658	1.1687	-15.5557	3.77887	-13.4903	3.03023	-10.4148	2.64001	-9.83628	2.55201	-14.4614	3.26994	-14.8778	3.10758	-19.5661	5.23767	-15.6665	3.95597	-14.3501	3.29535	-3.592234e+03	-1.708727e+06	-1.712319e+06
56	-14.2117	3.15902	-12.658	1.1687	-15.5036	3.77887	-13.1581	3.03023	-10.2746	2.64001	-9.83628	2.55201	-14.4614	3.17061	-14.8778	3.10758	-19.5661	5.23767	-15.6665	3.95597	-14.3184	3.29669	-3.668544e+03	-1.699528e+06	-1.703196e+06
57	-13.9564	3.15902	-12.4796	1.1687	-15.4627	3.64475	-13.1581	3.03023	-9.83254	2.64001	-8.51231	2.55201	-14.4614	3.17061	-14.8778	3.10758	-19.5661	5.23767	-14.4736	3.95597	-14.2584	3.29669	-4.342710e+03	-1.658024e+06	-1.662367e+06
58	-13.9564	3.15902	-12.3137	1.1687	-15.3287	3.64475	-13.1581	3.03023	-9.83254	2.64001	-8.51231	2.55201	-14.3044	3.17061	-14.834	3.10758	-19.5661	5.06908	-14.4736	3.95597	-14.2284	3.29669	-4.329395e+03	-1.607898e+06	-1.612227e+06
59	-13.9564	3.15902	-12.0802	1.1687	-15.3287	3.64475	-13.1581	3.03023	-9.78564	2.64001	-8.51231	2.55201	-14.231	3.17061	-14.7192	3.10758	-19.7066	5.06908	-14.4736	3.95597	-14.2216	3.29669	-4.457860e+03	-1.590985e+06	-1.595443e+06
