Results of Simulation 1

Time	C_skin	C_brain	C_null	C_muscle	C_lung	C_heart	C_liver	C_kidney	C_stomach	C_gut	C_pancreas	C_adrenal	C_adip	C_art	C_ven	C_stom_lumen	C_marrow	C_thyroid	C_spleen	C_gut_lumen	C_other
138	9.68995	7.15922	0	2.19608	0.540016	3.28756	2.07264	1.69016	2.1112	2.47943	6.21479	1.6513	2.08801	0.145629	0.18251	0	5.68365	1.58837	1.00844	0	1.52645
139	9.64643	7.08502	0	2.1956	0.535695	3.24947	2.04703	1.67619	2.08468	2.45221	6.14018	1.63687	2.09202	0.144461	0.181052	0	5.68417	1.57529	0.99966	0	1.52651
140	9.60295	7.01176	0	2.19507	0.531457	3.21237	2.0221	1.66249	2.05883	2.42568	6.06682	1.62274	2.096	0.143316	0.179623	0	5.68456	1.56246	0.991065	0	1.52655
141	9.55953	6.93943	0	2.1945	0.527299	3.17623	1.99784	1.64905	2.03363	2.39984	5.99468	1.6089	2.09995	0.142193	0.17822	0	5.68484	1.54989	0.982646	0	1.52655
142	9.51617	6.86802	0	2.19389	0.523219	3.14102	1.97422	1.63588	2.00907	2.37464	5.92374	1.59534	2.10386	0.141091	0.176843	0	5.68501	1.53755	0.974398	0	1.52652
143	9.47288	6.79753	0	2.19323	0.519214	3.10669	1.95121	1.62296	1.98511	2.35007	5.85399	1.58206	2.10774	0.140009	0.175492	0	5.68507	1.52545	0.966314	0	1.52647
144	9.42966	6.72793	0	2.19254	0.515283	3.07323	1.92881	1.61028	1.96175	2.32611	5.78541	1.56904	2.11159	0.138948	0.174165	0	5.68502	1.51358	0.958391	0	1.52638
145	9.38652	6.65924	0	2.1918	0.511423	3.0406	1.90698	1.59784	1.93896	2.30273	5.71797	1.55627	2.11541	0.137905	0.172863	0	5.68487	1.50193	0.950624	0	1.52627
146	9.34346	6.59142	0	2.19103	0.507633	3.00877	1.88571	1.58563	1.91673	2.27991	5.65167	1.54375	2.11919	0.136881	0.171584	0	5.68462	1.49049	0.943007	0	1.52613
147	9.30049	6.52449	0	2.19021	0.50391	2.97772	1.86497	1.57364	1.89503	2.25764	5.58647	1.53148	2.12294	0.135876	0.170328	0	5.68426	1.47927	0.935537	0	1.52596
148	9.25761	6.45842	0	2.18936	0.500252	2.94743	1.84475	1.56187	1.87386	2.2359	5.52237	1.51944	2.12666	0.134888	0.169093	0	5.6838	1.46824	0.928208	0	1.52576
149	9.21482	6.39321	0	2.18847	0.496658	2.91785	1.82503	1.55031	1.8532	2.21466	5.45934	1.50763	2.13035	0.133918	0.167881	0	5.68325	1.45742	0.921018	0	1.52554
150	9.17213	6.32885	0	2.18755	0.493127	2.88898	1.8058	1.53896	1.83303	2.19391	5.39738	1.49603	2.13402	0.132964	0.166689	0	5.68261	1.44678	0.913961	0	1.5253
151	9.12955	6.26534	0	2.18659	0.489655	2.86079	1.78703	1.52781	1.81334	2.17364	5.33645	1.48466	2.13765	0.132027	0.165517	0	5.68187	1.43633	0.907034	0	1.52503
152	9.08707	6.20265	0	2.18559	0.486242	2.83326	1.76871	1.51685	1.79411	2.15383	5.27655	1.47349	2.14125	0.131105	0.164365	0	5.68104	1.42607	0.900234	0	1.52473
153	9.0447	6.14079	0	2.18457	0.482886	2.80636	1.75083	1.50608	1.77532	2.13446	5.21765	1.46252	2.14483	0.130199	0.163233	0	5.68012	1.41598	0.893557	0	1.52441
154	9.00245	6.07974	0	2.18351	0.479586	2.78007	1.73337	1.49549	1.75697	2.11552	5.15974	1.45175	2.14838	0.129308	0.162119	0	5.67911	1.40606	0.886998	0	1.52407
155	8.96031	6.01949	0	2.18241	0.47634	2.75438	1.71632	1.48508	1.73905	2.09699	5.1028	1.44117	2.1519	0.128431	0.161023	0	5.67802	1.3963	0.880556	0	1.5237
156	8.9183	5.96004	0	2.18129	0.473146	2.72926	1.69966	1.47485	1.72153	2.07886	5.04682	1.43078	2.1554	0.127569	0.159945	0	5.67684	1.38671	0.874226	0	1.52332
157	8.8764	5.90137	0	2.18014	0.470004	2.7047	1.68338	1.46479	1.70441	2.06112	4.99178	1.42056	2.15887	0.12672	0.158885	0	5.67558	1.37728	0.868005	0	1.52291
158	8.83464	5.84348	0	2.17895	0.466911	2.68067	1.66748	1.45489	1.68767	2.04376	4.93766	1.41052	2.16231	0.125885	0.157841	0	5.67424	1.368	0.861892	0	1.52247
159	8.793	5.78636	0	2.17774	0.463868	2.65717	1.65192	1.44515	1.67131	2.02675	4.88445	1.40066	2.16573	0.125064	0.156813	0	5.67282	1.35887	0.855882	0	1.52202
160	8.75149	5.72999	0	2.17649	0.460871	2.63417	1.63671	1.43556	1.65531	2.0101	4.83212	1.39096	2.16912	0.124255	0.155802	0	5.67133	1.34989	0.849972	0	1.52155
161	8.71012	5.67438	0	2.17522	0.457921	2.61166	1.62184	1.42613	1.63966	1.99379	4.78068	1.38142	2.17249	0.123458	0.154806	0	5.66975	1.34105	0.844161	0	1.52105
162	8.66889	5.6195	0	2.17392	0.455016	2.58963	1.60729	1.41685	1.62435	1.97781	4.7301	1.37204	2.17584	0.122674	0.153825	0	5.6681	1.33234	0.838446	0	1.52054
163	8.62779	5.56535	0	2.17259	0.452155	2.56805	1.59305	1.40771	1.60938	1.96215	4.68036	1.36281	2.17916	0.121902	0.152859	0	5.66638	1.32378	0.832823	0	1.52001
164	8.58684	5.51193	0	2.17123	0.449337	2.54692	1.57911	1.39871	1.59472	1.9468	4.63145	1.35373	2.18245	0.121141	0.151908	0	5.66459	1.31534	0.827291	0	1.51945
165	8.54602	5.45922	0	2.16985	0.446561	2.52622	1.56547	1.38985	1.58038	1.93175	4.58336	1.34479	2.18573	0.120391	0.150971	0	5.66272	1.30703	0.821848	0	1.51888
166	8.50536	5.40721	0	2.16845	0.443825	2.50593	1.55211	1.38112	1.56634	1.91699	4.53607	1.336	2.18898	0.119653	0.150047	0	5.66078	1.29885	0.81649	0	1.51829
167	8.46483	5.35589	0	2.16701	0.441129	2.48605	1.53903	1.37253	1.55259	1.90251	4.48956	1.32735	2.19221	0.118925	0.149137	0	5.65878	1.29079	0.811216	0	1.51768
168	8.42446	5.30526	0	2.16556	0.438472	2.46656	1.52621	1.36406	1.53913	1.8883	4.44383	1.31883	2.19541	0.118208	0.14824	0	5.65671	1.28285	0.806023	0	1.51705
169	8.38424	5.25531	0	2.16408	0.435854	2.44746	1.51366	1.35571	1.52594	1.87436	4.39886	1.31044	2.1986	0.117501	0.147356	0	5.65457	1.27502	0.800911	0	1.51641
170	8.34417	5.20603	0	2.16257	0.433272	2.42872	1.50135	1.34749	1.51303	1.86068	4.35464	1.30218	2.20176	0.116804	0.146484	0	5.65237	1.26731	0.795876	0	1.51575
171	8.30425	5.1574	0	2.16104	0.430726	2.41034	1.48929	1.33939	1.50037	1.84724	4.31114	1.29404	2.2049	0.116117	0.145625	0	5.6501	1.25971	0.790916	0	1.51507
172	8.26449	5.10943	0	2.15949	0.428216	2.39231	1.47746	1.3314	1.48797	1.83405	4.26837	1.28603	2.20802	0.11544	0.144777	0	5.64777	1.25222	0.78603	0	1.51437
173	8.22489	5.0621	0	2.15792	0.42574	2.37462	1.46586	1.32352	1.47582	1.8211	4.2263	1.27813	2.21112	0.114771	0.143941	0	5.64538	1.24483	0.781217	0	1.51366
174	8.18544	5.0154	0	2.15632	0.423298	2.35725	1.45449	1.31576	1.46391	1.80837	4.18493	1.27035	2.2142	0.114112	0.143116	0	5.64293	1.23755	0.776474	0	1.51293
175	8.14615	4.96933	0	2.15471	0.42089	2.3402	1.44332	1.3081	1.45223	1.79587	4.14423	1.26268	2.21726	0.113462	0.142303	0	5.64042	1.23036	0.771799	0	1.51219
176	8.10702	4.92387	0	2.15307	0.418513	2.32346	1.43237	1.30055	1.44077	1.78358	4.10421	1.25512	2.2203	0.112821	0.141501	0	5.63785	1.22328	0.767191	0	1.51143
177	8.06805	4.87903	0	2.15141	0.416168	2.30702	1.42163	1.2931	1.42954	1.7715	4.06484	1.24767	2.22332	0.112188	0.140709	0	5.63523	1.21629	0.762649	0	1.51065
178	8.02924	4.83478	0	2.14973	0.413854	2.29088	1.41108	1.28575	1.41852	1.75963	4.02612	1.24033	2.22632	0.111563	0.139927	0	5.63255	1.2094	0.758171	0	1.50986
179	7.9906	4.79113	0	2.14803	0.41157	2.27501	1.40072	1.2785	1.4077	1.74796	3.98802	1.23308	2.2293	0.110947	0.139156	0	5.62981	1.20259	0.753755	0	1.50906
180	7.95212	4.74806	0	2.14631	0.409316	2.25943	1.39054	1.27134	1.39709	1.73647	3.95055	1.22594	2.23226	0.110339	0.138395	0	5.62702	1.19588	0.749399	0	1.50824
181	7.9138	4.70557	0	2.14457	0.40709	2.24411	1.38055	1.26428	1.38668	1.72518	3.91369	1.2189	2.23521	0.109738	0.137643	0	5.62417	1.18926	0.745104	0	1.50741
182	7.87565	4.66364	0	2.14281	0.404893	2.22905	1.37074	1.25732	1.37645	1.71407	3.87743	1.21195	2.23813	0.109145	0.136901	0	5.62128	1.18272	0.740867	0	1.50656
183	7.83767	4.62228	0	2.14104	0.402724	2.21424	1.36109	1.25044	1.36642	1.70313	3.84176	1.2051	2.24104	0.10856	0.136168	0	5.61833	1.17627	0.736687	0	1.5057
184	7.79985	4.58147	0	2.13925	0.400582	2.19968	1.35162	1.24365	1.35656	1.69237	3.80666	1.19833	2.24393	0.107982	0.135445	0	5.61533	1.16989	0.732562	0	1.50482
185	7.7622	4.5412	0	2.13743	0.398466	2.18536	1.3423	1.23695	1.34688	1.68178	3.77213	1.19166	2.2468	0.107411	0.13473	0	5.61228	1.1636	0.728492	0	1.50393
186	7.72472	4.50147	0	2.1356	0.396376	2.17127	1.33314	1.23033	1.33737	1.67136	3.73815	1.18507	2.24966	0.106847	0.134025	0	5.60918	1.15739	0.724475	0	1.50303
187	7.68741	4.46228	0	2.13376	0.394312	2.15742	1.32414	1.22379	1.32803	1.66109	3.70472	1.17857	2.25249	0.10629	0.133328	0	5.60603	1.15126	0.72051	0	1.50212
188	7.65026	4.4236	0	2.13189	0.392273	2.14378	1.31528	1.21734	1.31885	1.65098	3.67183	1.17216	2.25531	0.10574	0.132639	0	5.60283	1.1452	0.716596	0	1.50119
189	7.61329	4.38544	0	2.13002	0.390259	2.13036	1.30657	1.21096	1.30982	1.64102	3.63946	1.16582	2.25812	0.105196	0.131958	0	5.59959	1.13922	0.712732	0	1.50025
190	7.57648	4.34779	0	2.12812	0.388268	2.11714	1.298	1.20466	1.30095	1.63121	3.60761	1.15957	2.2609	0.104659	0.131286	0	5.5963	1.1333	0.708917	0	1.4993
191	7.53985	4.31064	0	2.12621	0.386301	2.10414	1.28957	1.19844	1.29223	1.62154	3.57626	1.15339	2.26367	0.104128	0.130622	0	5.59297	1.12746	0.70515	0	1.49834
192	7.50338	4.27399	0	2.12428	0.384357	2.09133	1.28128	1.19229	1.28366	1.61202	3.54541	1.14729	2.26643	0.103604	0.129965	0	5.58959	1.12169	0.70143	0	1.49737
193	7.46709	4.23782	0	2.12234	0.382436	2.07871	1.27311	1.18622	1.27523	1.60263	3.51505	1.14127	2.26916	0.103085	0.129316	0	5.58617	1.11599	0.697755	0	1.49638
194	7.43097	4.20213	0	2.12038	0.380536	2.06629	1.26507	1.18022	1.26693	1.59337	3.48517	1.13532	2.27189	0.102573	0.128674	0	5.5827	1.11036	0.694125	0	1.49538
195	7.39502	4.16692	0	2.11841	0.378659	2.05405	1.25716	1.17429	1.25878	1.58425	3.45576	1.12945	2.27459	0.102066	0.12804	0	5.5792	1.10479	0.69054	0	1.49437
196	7.35924	4.13217	0	2.11642	0.376803	2.04198	1.24936	1.16842	1.25075	1.57525	3.4268	1.12364	2.27728	0.101565	0.127413	0	5.57565	1.09929	0.686997	0	1.49335
197	7.32363	4.09788	0	2.11442	0.374968	2.0301	1.24169	1.16263	1.24285	1.56638	3.39831	1.1179	2.27996	0.10107	0.126793	0	5.57206	1.09385	0.683497	0	1.49232
198	7.28819	4.06405	0	2.1124	0.373153	2.01838	1.23412	1.1569	1.23507	1.55764	3.37025	1.11223	2.28262	0.100581	0.12618	0	5.56843	1.08847	0.680038	0	1.49128
199	7.25293	4.03066	0	2.11037	0.371359	2.00684	1.22668	1.15123	1.22742	1.54901	3.34263	1.10663	2.28526	0.100097	0.125574	0	5.56476	1.08315	0.67662	0	1.49023
200	7.21783	3.99772	0	2.10833	0.369584	1.99545	1.21934	1.14563	1.21989	1.54049	3.31544	1.1011	2.28789	0.0996178	0.124975	0	5.56105	1.07789	0.673242	0	1.48916
201	7.18291	3.96521	0	2.10628	0.367829	1.98423	1.21211	1.1401	1.21247	1.53209	3.28867	1.09562	2.29051	0.0991443	0.124382	0	5.5573	1.07269	0.669903	0	1.48809
202	7.14816	3.93312	0	2.10421	0.366093	1.97316	1.20498	1.13462	1.20516	1.5238	3.26232	1.09022	2.29311	0.0986759	0.123795	0	5.55352	1.06755	0.666602	0	1.48701
203	7.11359	3.90146	0	2.10213	0.364376	1.96224	1.19795	1.12921	1.19797	1.51562	3.23637	1.08487	2.29569	0.0982126	0.123215	0	5.54969	1.06247	0.663338	0	1.48592
204	7.07918	3.87021	0	2.10003	0.362677	1.95147	1.19103	1.12385	1.19088	1.50755	3.21081	1.07958	2.29827	0.0977543	0.122641	0	5.54584	1.05744	0.660112	0	1.48482
205	7.04495	3.83938	0	2.09793	0.360996	1.94085	1.1842	1.11855	1.1839	1.49958	3.18565	1.07435	2.30082	0.0973009	0.122074	0	5.54194	1.05246	0.656922	0	1.4837
206	7.01088	3.80894	0	2.09581	0.359333	1.93037	1.17746	1.11331	1.17701	1.49171	3.16086	1.06919	2.30337	0.0968522	0.121512	0	5.53801	1.04754	0.653767	0	1.48258
207	6.97699	3.77891	0	2.09368	0.357688	1.92003	1.17082	1.10813	1.17023	1.48394	3.13646	1.06407	2.3059	0.0964083	0.120956	0	5.53404	1.04267	0.650647	0	1.48145
208	6.94327	3.74926	0	2.09154	0.35606	1.90982	1.16427	1.103	1.16355	1.47627	3.11242	1.05902	2.30842	0.095969	0.120406	0	5.53004	1.03785	0.647561	0	1.48031
209	6.90972	3.72001	0	2.08939	0.354448	1.89974	1.15781	1.09792	1.15696	1.46869	3.08874	1.05402	2.31092	0.0955343	0.119861	0	5.52601	1.03309	0.644509	0	1.47916
210	6.87635	3.69113	0	2.08722	0.352853	1.88979	1.15143	1.0929	1.15047	1.46121	3.06542	1.04907	2.31341	0.0951041	0.119323	0	5.52194	1.02837	0.64149	0	1.47801
211	6.84314	3.66263	0	2.08505	0.351275	1.87997	1.14514	1.08793	1.14406	1.45381	3.04245	1.04418	2.31589	0.0946782	0.118789	0	5.51784	1.02371	0.638503	0	1.47684
212	6.8101	3.6345	0	2.08286	0.349712	1.87028	1.13894	1.08301	1.13775	1.44651	3.01982	1.03934	2.31835	0.0942567	0.118261	0	5.51371	1.01909	0.635548	0	1.47567
213	6.77723	3.60674	0	2.08067	0.348165	1.8607	1.13281	1.07814	1.13152	1.43929	2.99753	1.03455	2.3208	0.0938395	0.117739	0	5.50955	1.01451	0.632625	0	1.47449
214	6.74454	3.57933	0	2.07846	0.346634	1.85125	1.12676	1.07333	1.12537	1.43216	2.97557	1.02981	2.32324	0.0934264	0.117221	0	5.50535	1.00999	0.629732	0	1.4733
215	6.71201	3.55228	0	2.07625	0.345118	1.84191	1.12079	1.06856	1.11931	1.42511	2.95393	1.02512	2.32566	0.0930175	0.116709	0	5.50113	1.00551	0.626869	0	1.4721
216	6.67965	3.52558	0	2.07402	0.343617	1.83268	1.1149	1.06384	1.11333	1.41815	2.93261	1.02048	2.32807	0.0926126	0.116202	0	5.49687	1.00108	0.624036	0	1.47089
217	6.64746	3.49922	0	2.07178	0.342131	1.82356	1.10908	1.05916	1.10743	1.41127	2.9116	1.01589	2.33047	0.0922116	0.1157	0	5.49259	0.996686	0.621233	0	1.46968
218	6.61544	3.4732	0	2.06954	0.340659	1.81456	1.10333	1.05454	1.1016	1.40446	2.8909	1.01134	2.33286	0.0918146	0.115202	0	5.48827	0.99234	0.618457	0	1.46845
219	6.58359	3.44751	0	2.06728	0.339201	1.80566	1.09765	1.04995	1.09586	1.39773	2.87049	1.00684	2.33524	0.0914215	0.11471	0	5.48393	0.988036	0.615711	0	1.46722
220	6.5519	3.42215	0	2.06502	0.337758	1.79686	1.09205	1.04542	1.09018	1.39108	2.85039	1.00239	2.3376	0.0910322	0.114222	0	5.47956	0.983775	0.612991	0	1.46599
221	6.52038	3.39712	0	2.06275	0.336328	1.78817	1.08651	1.04093	1.08458	1.38451	2.83057	0.997979	2.33995	0.0906465	0.113739	0	5.47516	0.979555	0.610299	0	1.46474
222	6.48903	3.3724	0	2.06047	0.334912	1.77958	1.08104	1.03648	1.07905	1.378	2.81104	0.993613	2.34229	0.0902646	0.113261	0	5.47073	0.975376	0.607634	0	1.46349
223	6.45785	3.348	0	2.05818	0.33351	1.77108	1.07563	1.03207	1.07359	1.37157	2.79178	0.989292	2.34462	0.0898863	0.112787	0	5.46627	0.971237	0.604995	0	1.46223
224	6.42683	3.32391	0	2.05588	0.33212	1.76269	1.07029	1.02771	1.06819	1.36521	2.7728	0.985012	2.34693	0.0895115	0.112317	0	5.46179	0.967138	0.602382	0	1.46096
225	6.39598	3.30013	0	2.05357	0.330744	1.75438	1.06501	1.02339	1.06287	1.35892	2.75409	0.980775	2.34924	0.0891403	0.111852	0	5.45729	0.963077	0.599795	0	1.45969
226	6.36529	3.27664	0	2.05125	0.32938	1.74617	1.0598	1.0191	1.05761	1.35269	2.73565	0.976579	2.35153	0.0887725	0.111392	0	5.45275	0.959055	0.597233	0	1.45841
227	6.33477	3.25346	0	2.04893	0.328029	1.73805	1.05464	1.01486	1.05241	1.34653	2.71746	0.972423	2.35381	0.0884081	0.110935	0	5.44819	0.955071	0.594695	0	1.45713
228	6.30441	3.23056	0	2.0466	0.326691	1.73002	1.04954	1.01066	1.04727	1.34044	2.69953	0.968307	2.35608	0.088047	0.110483	0	5.44361	0.951124	0.592182	0	1.45583
229	6.27421	3.20795	0	2.04426	0.325364	1.72208	1.04451	1.0065	1.0422	1.33441	2.68185	0.964231	2.35834	0.0876893	0.110034	0	5.439	0.947213	0.589693	0	1.45453
230	6.24418	3.18563	0	2.04191	0.32405	1.71423	1.03952	1.00238	1.03718	1.32845	2.66441	0.960193	2.36059	0.0873348	0.10959	0	5.43437	0.943338	0.587227	0	1.45323
231	6.21431	3.16359	0	2.03956	0.322748	1.70646	1.0346	0.99829	1.03223	1.32254	2.64722	0.956193	2.36283	0.0869835	0.10915	0	5.42971	0.939499	0.584785	0	1.45192
232	6.18461	3.14182	0	2.0372	0.321457	1.69877	1.02973	0.994241	1.02733	1.3167	2.63026	0.952231	2.36505	0.0866354	0.108714	0	5.42503	0.935695	0.582365	0	1.4506
233	6.15506	3.12032	0	2.03483	0.320178	1.69116	1.02491	0.990229	1.02249	1.31092	2.61354	0.948305	2.36727	0.0862903	0.108282	0	5.42033	0.931925	0.579968	0	1.44928
234	6.12568	3.09909	0	2.03246	0.31891	1.68363	1.02015	0.986253	1.0177	1.30519	2.59704	0.944416	2.36947	0.0859484	0.107853	0	5.4156	0.928189	0.577593	0	1.44795
235	6.09646	3.07813	0	2.03007	0.317653	1.67618	1.01544	0.982312	1.01297	1.29952	2.58077	0.940563	2.37167	0.0856094	0.107429	0	5.41085	0.924487	0.575239	0	1.44661
236	6.0674	3.05742	0	2.02769	0.316407	1.66881	1.01078	0.978407	1.00829	1.29391	2.56472	0.936745	2.37385	0.0852734	0.107008	0	5.40608	0.920817	0.572908	0	1.44527
237	6.03849	3.03697	0	2.02529	0.315172	1.66152	1.00617	0.974536	1.00366	1.28836	2.54889	0.932961	2.37602	0.0849404	0.10659	0	5.40129	0.91718	0.570597	0	1.44392
238	6.00975	3.01677	0	2.02289	0.313948	1.65429	1.00161	0.9707	0.999086	1.28286	2.53326	0.929212	2.37819	0.0846102	0.106177	0	5.39648	0.913575	0.568307	0	1.44257
239	5.98116	2.99682	0	2.02048	0.312735	1.64715	0.997094	0.966897	0.99456	1.27742	2.51785	0.925496	2.38034	0.0842829	0.105766	0	5.39164	0.910002	0.566038	0	1.44121
240	5.95274	2.97711	0	2.01807	0.311531	1.64007	0.992629	0.963127	0.990084	1.27202	2.50264	0.921814	2.38248	0.0839584	0.10536	0	5.38679	0.906459	0.563789	0	1.43985
241	5.92447	2.95765	0	2.01565	0.310338	1.63306	0.98821	0.95939	0.985656	1.26668	2.48764	0.918164	2.38462	0.0836367	0.104957	0	5.38191	0.902948	0.56156	0	1.43848
242	5.89635	2.93842	0	2.01322	0.309156	1.62613	0.983838	0.955685	0.981275	1.26139	2.47283	0.914547	2.38674	0.0833177	0.104557	0	5.37702	0.899466	0.55935	0	1.43711
243	5.8684	2.91943	0	2.01079	0.307983	1.61926	0.97951	0.952012	0.976941	1.25616	2.45821	0.910961	2.38885	0.0830014	0.104161	0	5.3721	0.896014	0.55716	0	1.43573
244	5.84059	2.90067	0	2.00835	0.30682	1.61245	0.975226	0.94837	0.972652	1.25097	2.44379	0.907407	2.39096	0.0826878	0.103768	0	5.36717	0.892592	0.554989	0	1.43434
245	5.81295	2.88214	0	2.00591	0.305666	1.60572	0.970986	0.944759	0.968409	1.24583	2.42955	0.903883	2.39305	0.0823767	0.103378	0	5.36222	0.889198	0.552837	0	1.43296
246	5.78545	2.86382	0	2.00346	0.304523	1.59905	0.966789	0.941178	0.96421	1.24074	2.4155	0.90039	2.39513	0.0820683	0.102991	0	5.35724	0.885833	0.550704	0	1.43156
247	5.75811	2.84573	0	2.00101	0.303388	1.59244	0.962634	0.937628	0.960053	1.23569	2.40163	0.896927	2.39721	0.0817624	0.102608	0	5.35225	0.882496	0.548588	0	1.43016
248	5.73093	2.82786	0	1.99855	0.302264	1.5859	0.95852	0.934107	0.95594	1.23069	2.38794	0.893494	2.39927	0.081459	0.102228	0	5.34724	0.879187	0.546491	0	1.42876
249	5.70389	2.8102	0	1.99609	0.301148	1.57941	0.954447	0.930615	0.951868	1.22574	2.37442	0.890089	2.40133	0.0811581	0.101851	0	5.34222	0.875905	0.544412	0	1.42735
250	5.67701	2.79276	0	1.99362	0.300041	1.57299	0.950414	0.927152	0.947837	1.22083	2.36107	0.886714	2.40337	0.0808597	0.101477	0	5.33717	0.872651	0.54235	0	1.42594
251	5.65028	2.77552	0	1.99114	0.298943	1.56663	0.94642	0.923717	0.943847	1.21597	2.34789	0.883366	2.40541	0.0805636	0.101106	0	5.33211	0.869423	0.540305	0	1.42452
252	5.6237	2.75849	0	1.98867	0.297854	1.56033	0.942465	0.920311	0.939896	1.21115	2.33488	0.880047	2.40744	0.08027	0.100738	0	5.32703	0.866221	0.538277	0	1.4231
253	5.59727	2.74165	0	1.98618	0.296774	1.55408	0.938548	0.916932	0.935984	1.20638	2.32203	0.876755	2.40946	0.0799787	0.100372	0	5.32194	0.863045	0.536266	0	1.42168
254	5.57099	2.72502	0	1.9837	0.295703	1.54789	0.934669	0.91358	0.93211	1.20165	2.30934	0.873491	2.41147	0.0796897	0.10001	0	5.31683	0.859895	0.534272	0	1.42025
255	5.54485	2.70858	0	1.9812	0.294639	1.54176	0.930826	0.910256	0.928274	1.19696	2.29681	0.870253	2.41347	0.079403	0.099651	0	5.3117	0.85677	0.532294	0	1.41881
256	5.51887	2.69234	0	1.97871	0.293585	1.53569	0.927019	0.906958	0.924475	1.19231	2.28443	0.867042	2.41546	0.0791186	0.0992945	0	5.30655	0.85367	0.530332	0	1.41738
257	5.49303	2.67629	0	1.97621	0.292538	1.52966	0.923248	0.903686	0.920712	1.1877	2.27221	0.863856	2.41744	0.0788364	0.0989408	0	5.3014	0.850595	0.528387	0	1.41593
258	5.46734	2.66042	0	1.9737	0.2915	1.5237	0.919513	0.90044	0.916985	1.18313	2.26013	0.860697	2.41942	0.0785564	0.0985899	0	5.29622	0.847544	0.526457	0	1.41449
259	5.44179	2.64474	0	1.9712	0.29047	1.51778	0.915812	0.897219	0.913294	1.1786	2.2482	0.857563	2.42138	0.0782785	0.0982416	0	5.29103	0.844517	0.524542	0	1.41304
260	5.41639	2.62925	0	1.96868	0.289447	1.51192	0.912145	0.894024	0.909637	1.17411	2.23642	0.854454	2.42334	0.0780029	0.0978961	0	5.28583	0.841513	0.522643	0	1.41158
261	5.39114	2.61393	0	1.96617	0.288433	1.5061	0.908511	0.890854	0.906014	1.16966	2.22477	0.85137	2.42529	0.0777293	0.0975532	0	5.28061	0.838533	0.520758	0	1.41013
262	5.36603	2.59879	0	1.96365	0.287426	1.50034	0.904911	0.887708	0.902424	1.16524	2.21327	0.84831	2.42723	0.0774578	0.097213	0	5.27537	0.835576	0.518889	0	1.40867
263	5.34106	2.58382	0	1.96113	0.286427	1.49463	0.901343	0.884587	0.898868	1.16086	2.2019	0.845275	2.42916	0.0771884	0.0968753	0	5.27012	0.832642	0.517035	0	1.4072
264	5.31623	2.56903	0	1.9586	0.285436	1.48897	0.897807	0.881489	0.895344	1.15652	2.19067	0.842263	2.43108	0.0769211	0.0965402	0	5.26486	0.82973	0.515195	0	1.40573
265	5.29155	2.5544	0	1.95607	0.284452	1.48335	0.894303	0.878415	0.891852	1.15222	2.17957	0.839275	2.43299	0.0766557	0.0962076	0	5.25959	0.826841	0.513369	0	1.40426
266	5.267	2.53995	0	1.95354	0.283475	1.47778	0.890829	0.875365	0.888392	1.14795	2.1686	0.83631	2.4349	0.0763924	0.0958775	0	5.2543	0.823973	0.511557	0	1.40279
267	5.2426	2.52565	0	1.951	0.282506	1.47226	0.887387	0.872337	0.884962	1.14372	2.15775	0.833368	2.4368	0.076131	0.0955498	0	5.249	0.821127	0.50976	0	1.40131
268	5.21834	2.51152	0	1.94846	0.281543	1.46679	0.883974	0.869333	0.881563	1.13952	2.14704	0.830448	2.43869	0.0758716	0.0952246	0	5.24368	0.818303	0.507976	0	1.39983
269	5.19422	2.49755	0	1.94592	0.280588	1.46136	0.880591	0.866351	0.878194	1.13536	2.13644	0.827551	2.44057	0.075614	0.0949018	0	5.23835	0.815499	0.506206	0	1.39834
270	5.17023	2.48374	0	1.94337	0.27964	1.45598	0.877238	0.863391	0.874854	1.13123	2.12597	0.824676	2.44245	0.0753584	0.0945814	0	5.23301	0.812717	0.504449	0	1.39685
271	5.14638	2.47008	0	1.94082	0.278699	1.45064	0.873913	0.860453	0.871544	1.12713	2.11562	0.821823	2.44431	0.0751047	0.0942633	0	5.22766	0.809955	0.502706	0	1.39536
272	5.12267	2.45658	0	1.93827	0.277765	1.44534	0.870617	0.857536	0.868263	1.12306	2.10539	0.818991	2.44617	0.0748528	0.0939475	0	5.22229	0.807213	0.500976	0	1.39387
273	5.0991	2.44322	0	1.93572	0.276838	1.44009	0.867349	0.854642	0.865009	1.11903	2.09527	0.81618	2.44802	0.0746027	0.093634	0	5.21692	0.804492	0.499258	0	1.39237
274	5.07566	2.43002	0	1.93316	0.275917	1.43488	0.864109	0.851768	0.861784	1.11503	2.08526	0.81339	2.44986	0.0743544	0.0933228	0	5.21153	0.80179	0.497554	0	1.39087
275	5.05236	2.41696	0	1.9306	0.275003	1.42971	0.860896	0.848915	0.858585	1.11106	2.07537	0.810622	2.4517	0.0741079	0.0930138	0	5.20613	0.799108	0.495862	0	1.38937
276	5.02919	2.40405	0	1.92804	0.274095	1.42459	0.85771	0.846083	0.855414	1.10713	2.06559	0.807873	2.45353	0.0738632	0.092707	0	5.20072	0.796446	0.494182	0	1.38786
277	5.00616	2.39128	0	1.92547	0.273194	1.4195	0.85455	0.843271	0.85227	1.10322	2.05591	0.805145	2.45535	0.0736202	0.0924024	0	5.1953	0.793802	0.492515	0	1.38635
