Results of Simulation 1

Time	C_skin	C_brain	C_null	C_muscle	C_lung	C_heart	C_liver	C_kidney	C_stomach	C_gut	C_pancreas	C_adrenal	C_adip	C_art	C_ven	C_stom_lumen	C_marrow	C_thyroid	C_spleen	C_gut_lumen	C_other
31	5.9658	8.65621	0	0.89403	3.30822	12.202	6.4551	9.90859	6.59115	9.9807	9.85876	8.96751	0.696698	0.890086	0.430208	0	2.2477	9.36065	5.5092	0	0.606356
32	6.17113	8.91473	0	0.927156	3.33191	12.4329	6.61122	9.98529	6.73195	10.1555	10.1332	9.05364	0.723383	0.896486	0.438199	0	2.3314	9.43244	5.56104	0	0.628917
33	6.37649	9.1711	0	0.96044	3.35513	12.657	6.76293	10.0605	6.86929	10.3248	10.4043	9.1371	0.750254	0.90276	0.446034	0	2.41552	9.50279	5.61133	0	0.651591
34	6.58182	9.4253	0	0.993878	3.3779	12.8747	6.91037	10.1341	7.00327	10.4889	10.672	9.21809	0.777307	0.908911	0.453715	0	2.50005	9.57174	5.66017	0	0.674377
35	6.78711	9.67733	0	1.02746	3.40023	13.0862	7.05365	10.2063	7.13398	10.648	10.9365	9.29679	0.804539	0.914942	0.461247	0	2.58499	9.63933	5.70766	0	0.697268
36	6.99231	9.92717	0	1.06119	3.42212	13.2917	7.19289	10.2771	7.26153	10.8022	11.1977	9.37333	0.831945	0.920857	0.468634	0	2.67031	9.70559	5.75389	0	0.720264
37	7.1974	10.1748	0	1.09506	3.4436	13.4914	7.32823	10.3465	7.38599	10.9518	11.4556	9.44786	0.859523	0.926659	0.475881	0	2.75601	9.77057	5.79894	0	0.743359
38	7.40234	10.4202	0	1.12905	3.46468	13.6857	7.45978	10.4146	7.50748	11.0971	11.7102	9.52049	0.887269	0.932351	0.48299	0	2.84207	9.83429	5.84287	0	0.766551
39	7.60709	10.6634	0	1.16318	3.48535	13.8746	7.58766	10.4813	7.62606	11.2381	11.9616	9.59134	0.915179	0.937937	0.489967	0	2.92848	9.89678	5.88575	0	0.789837
40	7.81165	10.9044	0	1.19743	3.50565	14.0583	7.712	10.5468	7.74182	11.3751	12.2098	9.66049	0.943251	0.943418	0.496814	0	3.01523	9.9581	5.92762	0	0.813213
41	8.01596	11.1431	0	1.2318	3.52557	14.2372	7.8329	10.611	7.85485	11.5082	12.4548	9.72804	0.971482	0.948799	0.503536	0	3.10232	10.0183	5.96855	0	0.836677
42	8.22002	11.3796	0	1.26628	3.54513	14.4113	7.95049	10.6741	7.96523	11.6375	12.6966	9.79406	0.999868	0.954083	0.510137	0	3.18972	10.0773	6.00858	0	0.860225
43	8.42379	11.6139	0	1.30088	3.56434	14.5808	8.06488	10.7359	8.07303	11.7633	12.9353	9.85863	1.02841	0.959271	0.516619	0	3.27742	10.1352	6.04774	0	0.883856
44	8.62724	11.846	0	1.33558	3.58321	14.7459	8.17618	10.7967	8.17832	11.8857	13.1708	9.92181	1.05709	0.964367	0.522987	0	3.36543	10.1921	6.08607	0	0.907565
45	8.83037	12.0758	0	1.37038	3.60175	14.9067	8.28449	10.8563	8.28118	12.0048	13.4033	9.98366	1.08593	0.969374	0.529243	0	3.45372	10.248	6.12361	0	0.931351
46	9.03313	12.3033	0	1.40528	3.61997	15.0635	8.38991	10.9149	8.38169	12.1208	13.6327	10.0442	1.11491	0.974294	0.535391	0	3.5423	10.3029	6.1604	0	0.955211
47	9.23552	12.5287	0	1.44028	3.63788	15.2163	8.49255	10.9725	8.4799	12.2337	13.859	10.1036	1.14403	0.97913	0.541435	0	3.63114	10.3568	6.19646	0	0.979142
