iter	ka(1)	ke(1)	F(1)	IndexT	LnPseudoPrior(0)	LnPseudoPrior(1)	LnPseudoPrior(2)	LnPseudoPrior(3)	LnPseudoPrior(4)	LnPseudoPrior(5)	LnPseudoPrior(6)	LnPseudoPrior(7)	LnPseudoPrior(8)	LnPseudoPrior(9)	LnPrior	LnData	LnPosterior
2360	0.0958594	0.0509569	0.779128	7	-4.536113e+00	1.664342e+00	3.065941e+00	3.552814e+00	3.693988e+00	2.159167e+00	-1.526748e+00	-3.026156e+00	-4.186871e+00	-4.725964e+00	1.908640e+00	3.845015e+01	4.035879e+01
2370	0.101048	0.0511279	0.778531	5	-4.531973e+00	1.668482e+00	3.070081e+00	3.556954e+00	3.698128e+00	2.140561e+00	-1.527163e+00	-3.026573e+00	-4.191852e+00	-4.726384e+00	1.852723e+00	3.432105e+01	3.617377e+01
2380	0.0956988	0.0503783	0.765936	8	-4.527850e+00	1.672605e+00	3.074204e+00	3.561077e+00	3.702250e+00	2.144683e+00	-1.527583e+00	-3.031530e+00	-4.205864e+00	-4.735855e+00	1.921750e+00	3.843843e+01	4.036018e+01
2390	0.0994787	0.0503787	0.770753	8	-4.523744e+00	1.676711e+00	3.078310e+00	3.565183e+00	3.706356e+00	2.148789e+00	-1.523477e+00	-3.027424e+00	-4.215296e+00	-4.763376e+00	1.883186e+00	3.787938e+01	3.976256e+01
2400	0.0994034	0.0501227	0.766206	8	-4.519655e+00	1.680800e+00	3.082399e+00	3.569272e+00	3.710445e+00	2.152879e+00	-1.532880e+00	-3.045830e+00	-4.220201e+00	-4.759287e+00	1.889040e+00	3.816069e+01	4.004973e+01
2410	0.0919643	0.0522288	0.782239	8	-4.515583e+00	1.684872e+00	3.086471e+00	3.573345e+00	3.714518e+00	2.156951e+00	-1.533293e+00	-3.064161e+00	-4.234037e+00	-4.755215e+00	1.924828e+00	3.595406e+01	3.787889e+01
2420	0.0969204	0.0503981	0.769428	8	-4.511527e+00	1.688928e+00	3.090527e+00	3.577401e+00	3.718574e+00	2.161007e+00	-1.533705e+00	-3.077962e+00	-4.247816e+00	-4.755614e+00	1.908763e+00	3.856881e+01	4.047758e+01
2430	0.102126	0.0495554	0.766735	8	-4.507487e+00	1.692968e+00	3.094567e+00	3.581440e+00	3.722614e+00	2.165047e+00	-1.538553e+00	-3.087247e+00	-4.257099e+00	-4.760476e+00	1.873356e+00	3.584949e+01	3.772285e+01
2440	0.098975	0.0500585	0.771253	7	-4.503464e+00	1.696991e+00	3.098590e+00	3.585464e+00	3.726637e+00	2.169070e+00	-1.538952e+00	-3.096487e+00	-4.266352e+00	-4.769747e+00	1.894635e+00	3.761748e+01	3.951212e+01
2450	0.0990476	0.0502095	0.752875	9	-4.499456e+00	1.700999e+00	3.102597e+00	3.589471e+00	3.730644e+00	2.173077e+00	-1.548182e+00	-3.105711e+00	-4.271152e+00	-4.774543e+00	1.890890e+00	3.872314e+01	4.061403e+01
2460	0.0985728	0.0504529	0.764632	5	-4.495465e+00	1.704990e+00	3.106589e+00	3.593462e+00	3.734635e+00	2.168293e+00	-1.557361e+00	-3.114892e+00	-4.275946e+00	-4.770552e+00	1.890841e+00	3.857004e+01	4.046088e+01
2470	0.0968548	0.051049	0.785022	9	-4.491490e+00	1.708965e+00	3.110564e+00	3.597438e+00	3.738611e+00	2.172268e+00	-1.566519e+00	-3.119670e+00	-4.280710e+00	-4.779680e+00	1.896569e+00	3.769162e+01	3.958819e+01
2480	0.0977314	0.0500623	0.755031	5	-4.487530e+00	1.712925e+00	3.114524e+00	3.601397e+00	3.742570e+00	2.158823e+00	-1.575627e+00	-3.124430e+00	-4.281114e+00	-4.775721e+00	1.907165e+00	3.863067e+01	4.053784e+01
2490	0.0993444	0.0496706	0.761017	7	-4.483586e+00	1.716869e+00	3.118468e+00	3.605341e+00	3.746514e+00	2.154094e+00	-1.589035e+00	-3.133502e+00	-4.281512e+00	-4.771777e+00	1.898691e+00	3.767598e+01	3.957467e+01
2500	0.10164	0.0502891	0.724496	5	-4.479658e+00	1.720797e+00	3.122396e+00	3.609270e+00	3.750443e+00	2.145076e+00	-1.598077e+00	-3.142545e+00	-4.281909e+00	-4.767848e+00	1.863450e+00	3.492414e+01	3.678759e+01
2510	0.117031	0.0485262	0.735045	7	-4.475745e+00	1.724710e+00	3.126309e+00	3.613183e+00	3.754356e+00	2.140368e+00	-1.602781e+00	-3.151533e+00	-4.286600e+00	-4.768237e+00	1.755741e+00	2.577846e+01	2.753420e+01
2520	0.107469	0.0490423	0.70576	9	-4.471847e+00	1.728608e+00	3.130207e+00	3.617081e+00	3.758254e+00	2.144266e+00	-1.603178e+00	-3.160505e+00	-4.295568e+00	-4.777184e+00	1.832299e+00	3.597512e+01	3.780742e+01
2530	0.104671	0.0486254	0.716619	7	-4.467964e+00	1.732491e+00	3.134090e+00	3.620963e+00	3.762137e+00	2.148149e+00	-1.607832e+00	-3.173697e+00	-4.304507e+00	-4.777579e+00	1.867470e+00	3.728542e+01	3.915289e+01
2540	0.101041	0.0497925	0.729817	9	-4.464096e+00	1.736359e+00	3.137958e+00	3.624831e+00	3.766004e+00	2.152017e+00	-1.603965e+00	-3.174079e+00	-4.317661e+00	-4.794984e+00	1.879304e+00	3.775480e+01	3.963410e+01
2550	0.102959	0.0488753	0.738949	7	-4.460243e+00	1.740212e+00	3.141810e+00	3.628684e+00	3.769857e+00	2.155869e+00	-1.600112e+00	-3.174457e+00	-4.322284e+00	-4.820805e+00	1.878969e+00	3.713894e+01	3.901791e+01
2560	0.100123	0.0493352	0.749571	9	-4.456405e+00	1.744050e+00	3.145648e+00	3.632522e+00	3.773695e+00	2.159707e+00	-1.600497e+00	-3.187510e+00	-4.335337e+00	-4.821182e+00	1.897646e+00	3.763703e+01	3.953468e+01
2570	0.0962629	0.0498976	0.750715	9	-4.452582e+00	1.747873e+00	3.149472e+00	3.636345e+00	3.777519e+00	2.163531e+00	-1.596673e+00	-3.183686e+00	-4.335720e+00	-4.855209e+00	1.925512e+00	3.763412e+01	3.955963e+01
2580	0.0940614	0.0510194	0.776556	9	-4.448773e+00	1.751682e+00	3.153281e+00	3.640154e+00	3.781327e+00	2.167340e+00	-1.597056e+00	-3.192449e+00	-4.344481e+00	-4.863964e+00	1.926157e+00	3.849020e+01	4.041635e+01
2590	0.094451	0.0506151	0.767341	9	-4.444979e+00	1.755476e+00	3.157075e+00	3.643949e+00	3.785122e+00	2.171134e+00	-1.597433e+00	-3.196997e+00	-4.353210e+00	-4.876869e+00	1.930052e+00	3.827206e+01	4.020211e+01
2600	0.0957196	0.0517041	0.777109	6	-4.441199e+00	1.759256e+00	3.160855e+00	3.647729e+00	3.788902e+00	2.174914e+00	-1.597804e+00	-3.197370e+00	-4.353584e+00	-4.902212e+00	1.895457e+00	3.656029e+01	3.845575e+01
2610	0.0896383	0.0516583	0.806253	5	-4.437433e+00	1.763022e+00	3.164621e+00	3.651494e+00	3.792667e+00	2.170395e+00	-1.602323e+00	-3.210172e+00	-4.358105e+00	-4.898446e+00	1.961042e+00	3.686410e+01	3.882515e+01
2620	0.0936178	0.0512746	0.786655	7	-4.433681e+00	1.766774e+00	3.168372e+00	3.655246e+00	3.796419e+00	2.153496e+00	-1.610947e+00	-3.214663e+00	-4.354353e+00	-4.894694e+00	1.925819e+00	3.833658e+01	4.026240e+01
2630	0.094998	0.0511295	0.784517	9	-4.429944e+00	1.770511e+00	3.172110e+00	3.658984e+00	3.800157e+00	2.153120e+00	-1.619555e+00	-3.219153e+00	-4.358831e+00	-4.899169e+00	1.914192e+00	3.832401e+01	4.023820e+01
2640	0.0935869	0.0516241	0.788043	6	-4.426220e+00	1.774235e+00	3.175834e+00	3.662707e+00	3.803880e+00	2.152753e+00	-1.624013e+00	-3.219523e+00	-4.363301e+00	-4.911846e+00	1.919315e+00	3.799566e+01	3.991497e+01
2650	0.093526	0.0516151	0.776176	6	-4.422510e+00	1.777945e+00	3.179544e+00	3.666417e+00	3.807590e+00	2.156463e+00	-1.624377e+00	-3.236221e+00	-4.375917e+00	-4.908136e+00	1.920132e+00	3.754932e+01	3.946945e+01
2660	0.0940633	0.0513914	0.776585	7	-4.418814e+00	1.781641e+00	3.183240e+00	3.670113e+00	3.811287e+00	2.160159e+00	-1.620681e+00	-3.240657e+00	-4.388486e+00	-4.920702e+00	1.918840e+00	3.811701e+01	4.003585e+01
2670	0.0923789	0.0508045	0.770514	7	-4.415131e+00	1.785324e+00	3.186922e+00	3.673796e+00	3.814969e+00	2.155737e+00	-1.633209e+00	-3.249121e+00	-4.388849e+00	-4.917019e+00	1.948204e+00	3.734416e+01	3.929236e+01
2680	0.0922655	0.051879	0.798277	6	-4.411462e+00	1.788993e+00	3.190591e+00	3.677465e+00	3.818638e+00	2.151326e+00	-1.645682e+00	-3.257554e+00	-4.389215e+00	-4.913350e+00	1.928380e+00	3.775732e+01	3.968570e+01
2690	0.0900249	0.0520305	0.797811	8	-4.407807e+00	1.792648e+00	3.194247e+00	3.681121e+00	3.822294e+00	2.146934e+00	-1.654097e+00	-3.261945e+00	-4.393591e+00	-4.913711e+00	1.949598e+00	3.751277e+01	3.946237e+01
2700	0.0917565	0.0514713	0.772048	8	-4.404164e+00	1.796291e+00	3.197889e+00	3.684763e+00	3.825936e+00	2.150577e+00	-1.650454e+00	-3.258302e+00	-4.397961e+00	-4.942122e+00	1.941765e+00	3.707761e+01	3.901937e+01
2710	0.0935761	0.0510506	0.772048	6	-4.400535e+00	1.799920e+00	3.201519e+00	3.688392e+00	3.829565e+00	2.134242e+00	-1.658796e+00	-3.262659e+00	-4.394332e+00	-4.938493e+00	1.930656e+00	3.824216e+01	4.017282e+01
2720	0.0990748	0.050197	0.742656	6	-4.396919e+00	1.803536e+00	3.205135e+00	3.692008e+00	3.833181e+00	2.133883e+00	-1.667102e+00	-3.270978e+00	-4.398678e+00	-4.938858e+00	1.890865e+00	3.819567e+01	4.008654e+01
2730	0.0956806	0.0504092	0.76549	7	-4.393316e+00	1.807139e+00	3.208737e+00	3.695611e+00	3.836784e+00	2.133516e+00	-1.667467e+00	-3.275298e+00	-4.402999e+00	-4.951103e+00	1.921325e+00	3.848229e+01	4.040362e+01
2740	0.0992522	0.049437	0.736927	9	-4.389726e+00	1.810729e+00	3.212327e+00	3.699201e+00	3.840374e+00	2.133155e+00	-1.675727e+00	-3.283556e+00	-4.407308e+00	-4.951455e+00	1.904323e+00	3.783621e+01	3.974053e+01
2750	0.104089	0.0496623	0.728487	8	-4.386149e+00	1.814306e+00	3.215905e+00	3.702778e+00	3.843951e+00	2.136732e+00	-1.672149e+00	-3.283909e+00	-4.423406e+00	-4.963622e+00	1.852055e+00	3.747237e+01	3.932442e+01
2760	0.104897	0.0494877	0.747083	8	-4.382585e+00	1.817870e+00	3.219469e+00	3.706343e+00	3.847516e+00	2.140296e+00	-1.676428e+00	-3.299952e+00	-4.431599e+00	-4.960057e+00	1.847774e+00	3.703941e+01	3.888718e+01
2770	0.0990166	0.0489616	0.719218	8	-4.379033e+00	1.821422e+00	3.223021e+00	3.709894e+00	3.851068e+00	2.143848e+00	-1.672876e+00	-3.300307e+00	-4.443673e+00	-4.976044e+00	1.916330e+00	3.510832e+01	3.702465e+01
2780	0.100448	0.0501941	0.750355	6	-4.375494e+00	1.824961e+00	3.226560e+00	3.713434e+00	3.854607e+00	2.147387e+00	-1.673224e+00	-3.304555e+00	-4.451816e+00	-4.988079e+00	1.877161e+00	3.843049e+01	4.030765e+01
2790	0.0976812	0.0506466	0.737745	7	-4.371967e+00	1.828488e+00	3.230087e+00	3.716960e+00	3.858133e+00	2.150914e+00	-1.669697e+00	-3.316550e+00	-4.463808e+00	-4.992305e+00	1.896055e+00	3.600466e+01	3.790072e+01
2800	0.0989045	0.0502292	0.731185	5	-4.368453e+00	1.832002e+00	3.233601e+00	3.720475e+00	3.861648e+00	2.138978e+00	-1.681654e+00	-3.320772e+00	-4.460294e+00	-4.988791e+00	1.891940e+00	3.654102e+01	3.843296e+01
2810	0.100725	0.0505124	0.738965	6	-4.364951e+00	1.835504e+00	3.237103e+00	3.723977e+00	3.865150e+00	2.130913e+00	-1.693561e+00	-3.324967e+00	-4.460641e+00	-4.985289e+00	1.868076e+00	3.644056e+01	3.830863e+01
2820	0.104579	0.0495751	0.73321	7	-4.361461e+00	1.838994e+00	3.240593e+00	3.727467e+00	3.868640e+00	2.115203e+00	-1.705426e+00	-3.325310e+00	-4.457151e+00	-4.981799e+00	1.849077e+00	3.768692e+01	3.953599e+01
2830	0.104262	0.0492229	0.72743	9	-4.357983e+00	1.842472e+00	3.244071e+00	3.730944e+00	3.872117e+00	2.118680e+00	-1.701949e+00	-3.329487e+00	-4.468983e+00	-4.993611e+00	1.859249e+00	3.804853e+01	3.990778e+01
2840	0.110276	0.0487323	0.706765	9	-4.354518e+00	1.845937e+00	3.247536e+00	3.734410e+00	3.875583e+00	2.122146e+00	-1.698483e+00	-3.329839e+00	-4.480773e+00	-5.009195e+00	1.812413e+00	3.577849e+01	3.759090e+01
2850	0.0961022	0.0496978	0.751556	6	-4.351064e+00	1.849391e+00	3.250990e+00	3.737863e+00	3.879037e+00	2.125600e+00	-1.702624e+00	-3.341585e+00	-4.488718e+00	-5.009538e+00	1.931180e+00	3.693133e+01	3.886251e+01
2860	0.103422	0.0487784	0.719736	8	-4.347622e+00	1.852833e+00	3.254432e+00	3.741305e+00	3.882478e+00	2.110109e+00	-1.706755e+00	-3.345716e+00	-4.489057e+00	-5.006097e+00	1.876432e+00	3.741295e+01	3.928938e+01
2870	0.101651	0.0495912	0.737819	8	-4.344192e+00	1.856263e+00	3.257862e+00	3.744735e+00	3.885908e+00	2.113538e+00	-1.703325e+00	-3.342286e+00	-4.496941e+00	-5.029082e+00	1.877318e+00	3.850194e+01	4.037926e+01
2880	0.094768	0.0500445	0.741785	8	-4.340774e+00	1.859681e+00	3.261280e+00	3.748153e+00	3.889326e+00	2.116957e+00	-1.707430e+00	-3.346391e+00	-4.508556e+00	-5.033185e+00	1.938089e+00	3.590498e+01	3.784307e+01
2890	0.094768	0.0511512	0.77309	9	-4.337367e+00	1.863088e+00	3.264686e+00	3.751560e+00	3.892733e+00	2.120363e+00	-1.704023e+00	-3.346732e+00	-4.516388e+00	-5.052264e+00	1.916166e+00	3.838811e+01	4.030427e+01
2900	0.0974808	0.0505636	0.77278	9	-4.333972e+00	1.866483e+00	3.268081e+00	3.754955e+00	3.896128e+00	2.123758e+00	-1.700628e+00	-3.354541e+00	-4.531669e+00	-5.056335e+00	1.899745e+00	3.845095e+01	4.035070e+01
2910	0.101742	0.0496909	0.742596	9	-4.330589e+00	1.869866e+00	3.271465e+00	3.758338e+00	3.899512e+00	2.127142e+00	-1.697244e+00	-3.358598e+00	-4.543171e+00	-5.067845e+00	1.874411e+00	3.852758e+01	4.040199e+01
2920	0.100668	0.0493154	0.720736	8	-4.327217e+00	1.873238e+00	3.274837e+00	3.761711e+00	3.902884e+00	2.130514e+00	-1.693872e+00	-3.355226e+00	-4.547208e+00	-5.094156e+00	1.892621e+00	3.699399e+01	3.888661e+01
2930	0.107639	0.0487311	0.711816	5	-4.323856e+00	1.876599e+00	3.278198e+00	3.765071e+00	3.906244e+00	2.122795e+00	-1.697900e+00	-3.359265e+00	-4.551247e+00	-5.094495e+00	1.837029e+00	3.704961e+01	3.888664e+01
2940	0.104525	0.0487902	0.73944	8	-4.320507e+00	1.879948e+00	3.281547e+00	3.768421e+00	3.909594e+00	2.115086e+00	-1.709291e+00	-3.363283e+00	-4.551577e+00	-5.091146e+00	1.865505e+00	3.667361e+01	3.853911e+01
2950	0.10028	0.0492054	0.7351	8	-4.317168e+00	1.883287e+00	3.284886e+00	3.771759e+00	3.912932e+00	2.118425e+00	-1.709627e+00	-3.370963e+00	-4.562922e+00	-5.095153e+00	1.898708e+00	3.771921e+01	3.961792e+01
2960	0.100496	0.0495237	0.762246	7	-4.313841e+00	1.886614e+00	3.288213e+00	3.775086e+00	3.916260e+00	2.121752e+00	-1.706300e+00	-3.382268e+00	-4.574233e+00	-5.099156e+00	1.890127e+00	3.696295e+01	3.885307e+01
2970	0.114537	0.0480828	0.684544	5	-4.310525e+00	1.889930e+00	3.291529e+00	3.778403e+00	3.919576e+00	2.092243e+00	-1.706637e+00	-3.378952e+00	-4.570916e+00	-5.095839e+00	1.787000e+00	3.352805e+01	3.531505e+01
2980	0.112125	0.0485619	0.710034	7	-4.307219e+00	1.893236e+00	3.294834e+00	3.781708e+00	3.922881e+00	2.095549e+00	-1.710611e+00	-3.390187e+00	-4.578513e+00	-5.096169e+00	1.798938e+00	3.498604e+01	3.678498e+01
2990	0.105404	0.0480306	0.716767	5	-4.303925e+00	1.896530e+00	3.298129e+00	3.785002e+00	3.926175e+00	2.091599e+00	-1.721817e+00	-3.397765e+00	-4.578841e+00	-5.092875e+00	1.872651e+00	3.531028e+01	3.718293e+01
3000	0.104335	0.0502247	0.732039	5	-4.300642e+00	1.899813e+00	3.301412e+00	3.788286e+00	3.929459e+00	2.069600e+00	-1.729370e+00	-3.394482e+00	-4.575557e+00	-5.089591e+00	1.838419e+00	3.522423e+01	3.706265e+01
3010	0.0990765	0.0501912	0.73593	7	-4.297369e+00	1.903086e+00	3.304685e+00	3.791559e+00	3.932732e+00	2.072873e+00	-1.736896e+00	-3.405604e+00	-4.579488e+00	-5.089920e+00	1.890963e+00	3.744129e+01	3.933225e+01
3020	0.0964478	0.0497956	0.760911	5	-4.294107e+00	1.906348e+00	3.307947e+00	3.794821e+00	3.935994e+00	2.061780e+00	-1.751578e+00	-3.405928e+00	-4.576226e+00	-5.086658e+00	1.925650e+00	3.731319e+01	3.923884e+01
3030	0.0978929	0.0508743	0.752641	5	-4.290855e+00	1.909600e+00	3.311199e+00	3.798072e+00	3.939245e+00	2.057880e+00	-1.762637e+00	-3.413404e+00	-4.576549e+00	-5.083407e+00	1.889401e+00	3.731414e+01	3.920354e+01
3040	0.0959522	0.0513123	0.809426	7	-4.287614e+00	1.912841e+00	3.314440e+00	3.801313e+00	3.942486e+00	2.046859e+00	-1.777226e+00	-3.413723e+00	-4.573308e+00	-5.080166e+00	1.900700e+00	3.495161e+01	3.685231e+01
3050	0.0927065	0.0509708	0.777284	7	-4.284384e+00	1.916071e+00	3.317670e+00	3.804544e+00	3.945717e+00	2.050090e+00	-1.773995e+00	-3.414041e+00	-4.577186e+00	-5.101814e+00	1.941438e+00	3.798398e+01	3.992542e+01
3060	0.0986498	0.0496369	0.765185	9	-4.281164e+00	1.919291e+00	3.320890e+00	3.807764e+00	3.948937e+00	2.049764e+00	-1.781411e+00	-3.417904e+00	-4.581047e+00	-5.105669e+00	1.906370e+00	3.701041e+01	3.891678e+01
3070	0.100656	0.0498117	0.743122	8	-4.277954e+00	1.922501e+00	3.324100e+00	3.810974e+00	3.952147e+00	2.052973e+00	-1.778202e+00	-3.418224e+00	-4.591958e+00	-5.120116e+00	1.882740e+00	3.862586e+01	4.050860e+01
3080	0.100656	0.0502273	0.740027	6	-4.274754e+00	1.925701e+00	3.327299e+00	3.814173e+00	3.955346e+00	2.056173e+00	-1.778516e+00	-3.425587e+00	-4.599319e+00	-5.127473e+00	1.874432e+00	3.773788e+01	3.961231e+01
3090	0.104553	0.0496338	0.730911	6	-4.271565e+00	1.928890e+00	3.330489e+00	3.817362e+00	3.958535e+00	2.038306e+00	-1.785846e+00	-3.425906e+00	-4.596130e+00	-5.124284e+00	1.848143e+00	3.749916e+01	3.934730e+01
3100	0.0997012	0.0505062	0.748943	6	-4.268386e+00	1.932069e+00	3.333668e+00	3.820541e+00	3.961715e+00	2.027486e+00	-1.793155e+00	-3.429715e+00	-4.596445e+00	-5.121105e+00	1.878420e+00	3.783153e+01	3.970995e+01
3110	0.0997012	0.049992	0.722541	7	-4.265217e+00	1.935238e+00	3.336837e+00	3.823711e+00	3.964884e+00	2.023674e+00	-1.800445e+00	-3.440483e+00	-4.596758e+00	-5.117936e+00	1.888664e+00	3.581759e+01	3.770626e+01
3120	0.103977	0.0501722	0.749873	5	-4.262058e+00	1.938397e+00	3.339996e+00	3.826870e+00	3.968043e+00	2.016413e+00	-1.818142e+00	-3.440799e+00	-4.593599e+00	-5.114777e+00	1.842924e+00	3.645677e+01	3.829969e+01
3130	0.0972016	0.0494612	0.757923	6	-4.258909e+00	1.941546e+00	3.343145e+00	3.830019e+00	3.971192e+00	1.995313e+00	-1.825383e+00	-3.437649e+00	-4.590450e+00	-5.111627e+00	1.924641e+00	3.640509e+01	3.832973e+01
3140	0.105564	0.0498104	0.741337	6	-4.255769e+00	1.944686e+00	3.346284e+00	3.833158e+00	3.974331e+00	1.988096e+00	-1.839506e+00	-3.441424e+00	-4.587311e+00	-5.108488e+00	1.834885e+00	3.648721e+01	3.832210e+01
3150	0.10314	0.049039	0.726173	6	-4.252640e+00	1.947815e+00	3.349414e+00	3.836287e+00	3.970576e+00	1.970564e+00	-1.843253e+00	-3.438295e+00	-4.584181e+00	-5.105359e+00	1.873875e+00	3.796814e+01	3.984201e+01
3160	0.104952	0.0493967	0.719186	7	-4.249520e+00	1.950935e+00	3.352533e+00	3.839407e+00	3.973695e+00	1.970247e+00	-1.847003e+00	-3.442035e+00	-4.587922e+00	-5.112529e+00	1.849086e+00	3.714636e+01	3.899545e+01
3170	0.101935	0.049514	0.737037	6	-4.246410e+00	1.954045e+00	3.355643e+00	3.842517e+00	3.976805e+00	1.969940e+00	-1.850728e+00	-3.442345e+00	-4.595081e+00	-5.119688e+00	1.876071e+00	3.847009e+01	4.034616e+01
3180	0.105669	0.0477421	0.704973	5	-4.243310e+00	1.957145e+00	3.358744e+00	3.845617e+00	3.976499e+00	1.955995e+00	-1.857865e+00	-3.442658e+00	-4.591981e+00	-5.116588e+00	1.876093e+00	3.419217e+01	3.606827e+01
3190	0.102052	0.0489688	0.724116	6	-4.240219e+00	1.960236e+00	3.361834e+00	3.848708e+00	3.976189e+00	1.942080e+00	-1.864970e+00	-3.442964e+00	-4.588890e+00	-5.113497e+00	1.885960e+00	3.753848e+01	3.942444e+01
3200	0.0972041	0.0501234	0.730741	5	-4.237138e+00	1.963317e+00	3.364916e+00	3.851789e+00	3.979271e+00	1.935001e+00	-1.875449e+00	-3.450056e+00	-4.585809e+00	-5.110416e+00	1.911328e+00	3.604754e+01	3.795887e+01
3210	0.105022	0.04952	0.730741	7	-4.234067e+00	1.966388e+00	3.367987e+00	3.854861e+00	3.982342e+00	1.924545e+00	-1.875756e+00	-3.453737e+00	-4.589490e+00	-5.110720e+00	1.845926e+00	3.754316e+01	3.938909e+01
3220	0.0983312	0.0502431	0.754423	5	-4.231004e+00	1.969451e+00	3.371050e+00	3.857923e+00	3.985405e+00	1.924244e+00	-1.879430e+00	-3.464151e+00	-4.596537e+00	-5.107658e+00	1.897460e+00	3.875950e+01	4.065696e+01
3230	0.106592	0.0487072	0.69581	5	-4.227951e+00	1.972504e+00	3.374103e+00	3.860976e+00	3.981747e+00	1.917223e+00	-1.886456e+00	-3.467818e+00	-4.593484e+00	-5.104605e+00	1.847418e+00	3.536077e+01	3.720819e+01
3240	0.102397	0.0481845	0.708543	5	-4.224908e+00	1.975547e+00	3.377146e+00	3.864020e+00	3.971387e+00	1.903537e+00	-1.886759e+00	-3.464774e+00	-4.590440e+00	-5.101561e+00	1.898629e+00	3.431700e+01	3.621563e+01
3250	0.108568	0.0485544	0.731772	7	-4.221873e+00	1.978582e+00	3.380181e+00	3.867054e+00	3.974421e+00	1.906572e+00	-1.887067e+00	-3.471754e+00	-4.597419e+00	-5.108536e+00	1.831926e+00	3.546131e+01	3.729324e+01
3260	0.108477	0.0486972	0.711631	6	-4.218848e+00	1.981607e+00	3.383206e+00	3.870080e+00	3.977446e+00	1.909597e+00	-1.887365e+00	-3.475384e+00	-4.607710e+00	-5.115493e+00	1.829856e+00	3.681487e+01	3.864472e+01
3270	0.106835	0.0490745	0.72125	7	-4.215832e+00	1.984623e+00	3.386222e+00	3.873096e+00	3.980462e+00	1.912613e+00	-1.884349e+00	-3.479003e+00	-4.614647e+00	-5.129067e+00	1.837634e+00	3.728806e+01	3.912570e+01
3280	0.105483	0.0490941	0.72423	3	-4.212825e+00	1.987630e+00	3.389229e+00	3.872799e+00	3.970242e+00	1.902385e+00	-1.884654e+00	-3.475996e+00	-4.611640e+00	-5.126060e+00	1.850114e+00	3.777161e+01	3.962172e+01
3290	0.10621	0.0494482	0.718621	7	-4.209827e+00	1.990628e+00	3.392227e+00	3.875797e+00	3.960037e+00	1.892196e+00	-1.884951e+00	-3.476292e+00	-4.608642e+00	-5.123061e+00	1.836003e+00	3.649371e+01	3.832972e+01
3300	0.10139	0.048193	0.736644	7	-4.206838e+00	1.993617e+00	3.395216e+00	3.878787e+00	3.963026e+00	1.895185e+00	-1.888535e+00	-3.489740e+00	-4.615522e+00	-5.120072e+00	1.908374e+00	3.267688e+01	3.458525e+01
3310	0.109311	0.0477249	0.699922	7	-4.203857e+00	1.996598e+00	3.398196e+00	3.881767e+00	3.966006e+00	1.888332e+00	-1.901948e+00	-3.493315e+00	-4.612542e+00	-5.117092e+00	1.842100e+00	3.520910e+01	3.705120e+01
3320	0.10287	0.0490551	0.723896	9	-4.200886e+00	1.999569e+00	3.401168e+00	3.884738e+00	3.968978e+00	1.891303e+00	-1.902249e+00	-3.493616e+00	-4.619375e+00	-5.130456e+00	1.876187e+00	3.786462e+01	3.974080e+01
3330	0.097661	0.0504034	0.768845	7	-4.197923e+00	2.002532e+00	3.404130e+00	3.887701e+00	3.971940e+00	1.894266e+00	-1.899287e+00	-3.497167e+00	-4.629449e+00	-5.140531e+00	1.901085e+00	3.856659e+01	4.046768e+01
3340	0.0991152	0.0496231	0.771377	9	-4.194970e+00	2.005485e+00	3.407084e+00	3.890654e+00	3.974894e+00	1.897220e+00	-1.896333e+00	-3.494213e+00	-4.639494e+00	-5.157071e+00	1.901952e+00	3.603421e+01	3.793616e+01
3350	0.0975528	0.0502676	0.769285	6	-4.192025e+00	2.008430e+00	3.410029e+00	3.893599e+00	3.977839e+00	1.900165e+00	-1.903098e+00	-3.500985e+00	-4.643031e+00	-5.160612e+00	1.904889e+00	3.839336e+01	4.029825e+01
3360	0.103596	0.0497535	0.741831	6	-4.189088e+00	2.011367e+00	3.412966e+00	3.896536e+00	3.964624e+00	1.893412e+00	-1.906621e+00	-3.498049e+00	-4.640094e+00	-5.157676e+00	1.855004e+00	3.786700e+01	3.972201e+01
3370	0.103596	0.0490866	0.740553	5	-4.186160e+00	2.014295e+00	3.415893e+00	3.899464e+00	3.967552e+00	1.886686e+00	-1.913353e+00	-3.504790e+00	-4.640390e+00	-5.154748e+00	1.868470e+00	3.762411e+01	3.949258e+01
3380	0.110673	0.0492064	0.694939	7	-4.183241e+00	2.017214e+00	3.418813e+00	3.902383e+00	3.970471e+00	1.889606e+00	-1.916863e+00	-3.511505e+00	-4.647100e+00	-5.158248e+00	1.799106e+00	3.186442e+01	3.366352e+01
3390	0.112932	0.0477382	0.688021	5	-4.180330e+00	2.020125e+00	3.421724e+00	3.905294e+00	3.973382e+00	1.870103e+00	-1.923557e+00	-3.508594e+00	-4.644190e+00	-5.155338e+00	1.808592e+00	3.471065e+01	3.651924e+01
3400	0.104462	0.0485849	0.72537	5	-4.177428e+00	2.023027e+00	3.424626e+00	3.908196e+00	3.976284e+00	1.853853e+00	-1.930236e+00	-3.508884e+00	-4.641287e+00	-5.152435e+00	1.870313e+00	3.709523e+01	3.896554e+01
3410	0.106836	0.0485849	0.731973	8	-4.174534e+00	2.025921e+00	3.427520e+00	3.911090e+00	3.979178e+00	1.847187e+00	-1.933709e+00	-3.512356e+00	-4.644754e+00	-5.152721e+00	1.847603e+00	3.628882e+01	3.813642e+01
