iter	ka(1)	ke(1)	F(1)	IndexT	LnPseudoPrior(0)	LnPseudoPrior(1)	LnPseudoPrior(2)	LnPseudoPrior(3)	LnPseudoPrior(4)	LnPseudoPrior(5)	LnPseudoPrior(6)	LnPseudoPrior(7)	LnPseudoPrior(8)	LnPseudoPrior(9)	LnPrior	LnData	LnPosterior
230	0.0944958	0.0518072	0.790822	9	-6.687128e+00	-4.866731e-01	9.149257e-01	1.401799e+00	1.639755e+00	1.640260e+00	9.293301e-01	2.450476e-01	-4.573954e-01	-8.545055e-01	1.906198e+00	3.718549e+01	3.909169e+01
240	0.0916721	0.0514625	0.788445	7	-6.652098e+00	-4.516433e-01	9.499555e-01	1.436829e+00	1.674784e+00	1.675290e+00	9.643600e-01	2.035499e-01	-5.758162e-01	-9.748254e-01	1.942842e+00	3.800269e+01	3.994553e+01
250	0.0916721	0.0521328	0.830705	6	-6.618254e+00	-4.177992e-01	9.837996e-01	1.470673e+00	1.708629e+00	1.709134e+00	9.247481e-01	5.056077e-02	-6.539685e-01	-9.409813e-01	1.929814e+00	3.462431e+01	3.655412e+01
260	0.0894305	0.0518154	0.788645	8	-6.585518e+00	-3.850631e-01	1.016536e+00	1.503409e+00	1.741365e+00	1.741870e+00	9.574843e-01	4.675204e-02	-7.648044e-01	-1.088226e+00	1.960259e+00	3.689354e+01	3.885379e+01
270	0.093828	0.0519412	0.790662	8	-6.553820e+00	-3.533647e-01	1.048234e+00	1.535108e+00	1.773063e+00	1.773569e+00	9.891826e-01	-2.698592e-02	-8.722458e-01	-1.160633e+00	1.910610e+00	3.709473e+01	3.900534e+01
280	0.0877252	0.0531351	0.817937	8	-6.523095e+00	-3.226404e-01	1.078958e+00	1.565832e+00	1.803787e+00	1.804293e+00	1.019907e+00	-9.801985e-02	-1.010246e+00	-1.197394e+00	1.953692e+00	3.596056e+01	3.791425e+01
290	0.0861453	0.0521432	0.801224	9	-6.493287e+00	-2.928319e-01	1.108767e+00	1.595640e+00	1.833596e+00	1.834101e+00	1.049715e+00	-1.676096e-01	-1.078364e+00	-1.298153e+00	1.990412e+00	3.469954e+01	3.668995e+01
300	0.0951598	0.05215	0.789122	6	-6.464341e+00	-2.638863e-01	1.137712e+00	1.624586e+00	1.862541e+00	1.863047e+00	9.513938e-01	-2.659308e-01	-1.113286e+00	-1.269208e+00	1.892624e+00	3.518583e+01	3.707846e+01
310	0.0915398	0.0517141	0.798991	9	-6.436210e+00	-2.357551e-01	1.165844e+00	1.652717e+00	1.890673e+00	1.828589e+00	9.483635e-01	-2.998589e-01	-1.146780e+00	-1.333085e+00	1.939355e+00	3.787208e+01	3.981143e+01
320	0.0918181	0.0517427	0.79724	8	-6.408849e+00	-2.083936e-01	1.193205e+00	1.680079e+00	1.918034e+00	1.855951e+00	9.757250e-01	-2.724974e-01	-1.209259e+00	-1.516859e+00	1.935814e+00	3.793428e+01	3.987010e+01
330	0.0954085	0.0507217	0.762341	7	-6.382216e+00	-1.817609e-01	1.219838e+00	1.706711e+00	1.944667e+00	1.882583e+00	9.727878e-01	-3.629760e-01	-1.270394e+00	-1.548737e+00	1.917954e+00	3.844686e+01	4.036481e+01
340	0.0992692	0.0504115	0.765104	7	-6.356274e+00	-1.558191e-01	1.245780e+00	1.732653e+00	1.970609e+00	1.908525e+00	9.703058e-01	-4.509587e-01	-1.358743e+00	-1.551516e+00	1.884639e+00	3.835033e+01	4.023497e+01
350	0.0953561	0.0506889	0.778205	8	-6.330988e+00	-1.305334e-01	1.271065e+00	1.757939e+00	1.995894e+00	1.933811e+00	9.397508e-01	-5.367190e-01	-1.416795e+00	-1.554149e+00	1.919148e+00	3.839467e+01	4.031382e+01
360	0.0947438	0.0516814	0.77355	8	-6.306326e+00	-1.058712e-01	1.295728e+00	1.782601e+00	2.020557e+00	1.958473e+00	8.286738e-01	-6.207720e-01	-1.418962e+00	-1.529487e+00	1.906053e+00	3.684901e+01	3.875506e+01
370	0.0971839	0.0503125	0.742915	9	-6.282258e+00	-8.180268e-02	1.319796e+00	1.806670e+00	2.044625e+00	1.982542e+00	7.999211e-01	-6.495253e-01	-1.474416e+00	-1.585007e+00	1.907765e+00	3.767147e+01	3.957923e+01
380	0.100299	0.0496348	0.734553	9	-6.258755e+00	-5.829984e-02	1.343299e+00	1.830173e+00	2.068128e+00	2.006045e+00	8.234239e-01	-6.517836e-01	-1.580086e+00	-1.665101e+00	1.889849e+00	3.824414e+01	4.013399e+01
390	0.104202	0.0491743	0.723316	7	-6.235792e+00	-3.533673e-02	1.366262e+00	1.853136e+00	2.091091e+00	2.029008e+00	8.463870e-01	-6.538205e-01	-1.582180e+00	-1.844675e+00	1.860817e+00	3.792457e+01	3.978538e+01
400	0.0993328	0.0494845	0.734751	9	-6.213344e+00	-1.288911e-02	1.388710e+00	1.875583e+00	2.113539e+00	2.051455e+00	8.688347e-01	-6.562036e-01	-1.658891e+00	-1.945162e+00	1.902555e+00	3.783914e+01	3.974169e+01
410	0.100663	0.0493624	0.761288	9	-6.191389e+00	9.065660e-03	1.410664e+00	1.897538e+00	2.135493e+00	2.073410e+00	8.666666e-01	-6.824946e-01	-1.709519e+00	-2.019759e+00	1.891720e+00	3.643004e+01	3.832176e+01
420	0.0980724	0.0498394	0.751167	8	-6.169906e+00	3.054876e-02	1.432148e+00	1.919021e+00	2.156977e+00	2.094893e+00	8.408887e-01	-7.317272e-01	-1.782512e+00	-2.022137e+00	1.908155e+00	3.839970e+01	4.030785e+01
430	0.0982159	0.0512719	0.758443	9	-6.148875e+00	5.158002e-02	1.453179e+00	1.940052e+00	2.178008e+00	2.115924e+00	8.619199e-01	-7.106959e-01	-1.784639e+00	-2.209291e+00	1.878304e+00	3.585962e+01	3.773792e+01
440	0.104737	0.0490427	0.736664	9	-6.128277e+00	7.217806e-02	1.473777e+00	1.960650e+00	2.198606e+00	2.136522e+00	8.825180e-01	-7.127317e-01	-1.832083e+00	-2.324596e+00	1.858323e+00	3.758110e+01	3.943942e+01
450	0.0995654	0.0504631	0.765404	9	-6.108095e+00	9.236037e-02	1.493959e+00	1.980833e+00	2.218788e+00	2.156705e+00	8.805675e-01	-7.368151e-01	-1.856167e+00	-2.415754e+00	1.880637e+00	3.816767e+01	4.004831e+01
460	0.101623	0.0494836	0.746841	7	-6.088312e+00	1.121434e-01	1.513742e+00	2.000616e+00	2.238571e+00	2.176488e+00	9.003505e-01	-7.603829e-01	-1.901559e+00	-2.505058e+00	1.879760e+00	3.826658e+01	4.014634e+01
470	0.101623	0.0500226	0.757713	7	-6.068912e+00	1.315427e-01	1.533141e+00	2.020015e+00	2.257970e+00	2.195887e+00	8.346426e-01	-8.048149e-01	-1.925129e+00	-2.507144e+00	1.868936e+00	3.793827e+01	3.980721e+01
480	0.0953513	0.0507215	0.761594	7	-6.049882e+00	1.505727e-01	1.552172e+00	2.039045e+00	2.277001e+00	2.214917e+00	7.702201e-01	-8.484444e-01	-1.948245e+00	-2.509186e+00	1.918552e+00	3.839042e+01	4.030897e+01
490	0.0982095	0.0499965	0.763422	7	-6.031208e+00	1.692474e-01	1.570846e+00	2.057720e+00	2.295675e+00	2.212954e+00	6.450424e-01	-8.707009e-01	-1.929570e+00	-2.490512e+00	1.903617e+00	3.830187e+01	4.020548e+01
