iter	ka(1)	ke(1)	F(1)	LnPrior	LnData	LnPosterior
62	0.224046	0.0407376	0.497017	1.218378e+00	-8.880127e+01	-8.758289e+01
63	0.224046	0.0407376	0.497017	1.218378e+00	-8.880127e+01	-8.758289e+01
64	0.224046	0.0407376	0.497017	1.218378e+00	-8.880127e+01	-8.758289e+01
65	0.224046	0.0407376	0.497017	1.218378e+00	-8.880127e+01	-8.758289e+01
66	0.182702	0.0407376	0.497017	1.449483e+00	-4.936623e+01	-4.791675e+01
67	0.182702	0.0407376	0.497017	1.449483e+00	-4.936623e+01	-4.791675e+01
68	0.182702	0.0407376	0.497017	1.449483e+00	-4.936623e+01	-4.791675e+01
69	0.182702	0.0407376	0.497017	1.449483e+00	-4.936623e+01	-4.791675e+01
70	0.182702	0.0407376	0.497017	1.449483e+00	-4.936623e+01	-4.791675e+01
71	0.182702	0.0407376	0.497017	1.449483e+00	-4.936623e+01	-4.791675e+01
72	0.182702	0.0407376	0.497561	1.449483e+00	-4.917641e+01	-4.772693e+01
73	0.182702	0.0407376	0.497561	1.449483e+00	-4.917641e+01	-4.772693e+01
74	0.182702	0.0407376	0.533506	1.449483e+00	-4.695554e+01	-4.550606e+01
75	0.182702	0.0407376	0.533506	1.449483e+00	-4.695554e+01	-4.550606e+01
76	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
77	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
78	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
79	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
80	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
81	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
82	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
83	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
84	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
85	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
86	0.182702	0.0421305	0.533506	1.417054e+00	-3.600154e+01	-3.458449e+01
87	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
88	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
89	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
90	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
91	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
92	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
93	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
94	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
95	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
96	0.181889	0.0421305	0.533506	1.422021e+00	-3.514471e+01	-3.372269e+01
97	0.181889	0.0421305	0.534482	1.422021e+00	-3.508705e+01	-3.366502e+01
98	0.181889	0.0421305	0.534482	1.422021e+00	-3.508705e+01	-3.366502e+01
99	0.181889	0.0421305	0.534482	1.422021e+00	-3.508705e+01	-3.366502e+01
100	0.147368	0.0421305	0.550382	1.652055e+00	-1.282662e+01	-1.117457e+01
101	0.147368	0.0421305	0.550382	1.652055e+00	-1.282662e+01	-1.117457e+01
102	0.147368	0.0421305	0.579191	1.652055e+00	-1.164832e+01	-9.996260e+00
103	0.147368	0.0421305	0.579191	1.652055e+00	-1.164832e+01	-9.996260e+00
104	0.142851	0.0421305	0.579191	1.685368e+00	-1.090601e+01	-9.220640e+00
105	0.142851	0.0421305	0.579191	1.685368e+00	-1.090601e+01	-9.220640e+00
106	0.142851	0.0421305	0.579191	1.685368e+00	-1.090601e+01	-9.220640e+00
107	0.142851	0.0448694	0.579191	1.624045e+00	5.581347e+00	7.205393e+00
108	0.142851	0.0448694	0.587192	1.624045e+00	8.166101e+00	9.790147e+00
109	0.142851	0.0447773	0.596612	1.626057e+00	1.027826e+01	1.190431e+01
110	0.142851	0.0447773	0.61536	1.626057e+00	1.110306e+01	1.272912e+01
111	0.119445	0.0447773	0.63835	1.814018e+00	1.710908e+01	1.892310e+01
112	0.119445	0.0447773	0.63835	1.814018e+00	1.710908e+01	1.892310e+01
113	0.119445	0.0447773	0.63835	1.814018e+00	1.710908e+01	1.892310e+01
114	0.119445	0.0447773	0.63835	1.814018e+00	1.710908e+01	1.892310e+01
115	0.119445	0.0447773	0.63835	1.814018e+00	1.710908e+01	1.892310e+01
116	0.119445	0.0447773	0.63835	1.814018e+00	1.710908e+01	1.892310e+01
117	0.119445	0.0447773	0.63835	1.814018e+00	1.710908e+01	1.892310e+01
118	0.119445	0.0452202	0.63835	1.804372e+00	2.149645e+01	2.330082e+01
119	0.119445	0.0468255	0.648337	1.770033e+00	2.885445e+01	3.062448e+01
120	0.119445	0.0468255	0.648337	1.770033e+00	2.885445e+01	3.062448e+01
121	0.119445	0.0468255	0.650075	1.770033e+00	2.918485e+01	3.095488e+01
122	0.119445	0.0468255	0.685222	1.770033e+00	2.985854e+01	3.162857e+01
123	0.119445	0.0468255	0.685222	1.770033e+00	2.985854e+01	3.162857e+01
124	0.119445	0.0468255	0.674954	1.770033e+00	3.079942e+01	3.256945e+01
125	0.119445	0.0468255	0.674954	1.770033e+00	3.079942e+01	3.256945e+01
126	0.119445	0.0468255	0.674954	1.770033e+00	3.079942e+01	3.256945e+01
127	0.119445	0.0475555	0.674954	1.754733e+00	3.105834e+01	3.281307e+01
128	0.119445	0.0475555	0.678641	1.754733e+00	3.118750e+01	3.294224e+01
129	0.119445	0.0475555	0.678641	1.754733e+00	3.118750e+01	3.294224e+01
130	0.119445	0.0475555	0.678641	1.754733e+00	3.118750e+01	3.294224e+01
131	0.119445	0.0475555	0.678641	1.754733e+00	3.118750e+01	3.294224e+01
132	0.119445	0.0475555	0.678667	1.754733e+00	3.118800e+01	3.294273e+01
133	0.119445	0.0475555	0.678667	1.754733e+00	3.118800e+01	3.294273e+01
134	0.119445	0.0475555	0.678667	1.754733e+00	3.118800e+01	3.294273e+01
135	0.119445	0.0475555	0.678667	1.754733e+00	3.118800e+01	3.294273e+01
136	0.119445	0.0475555	0.678667	1.754733e+00	3.118800e+01	3.294273e+01
137	0.119445	0.0475555	0.678667	1.754733e+00	3.118800e+01	3.294273e+01
138	0.119445	0.0475555	0.678667	1.754733e+00	3.118800e+01	3.294273e+01
139	0.119445	0.0475555	0.678667	1.754733e+00	3.118800e+01	3.294273e+01
140	0.119445	0.0475555	0.678667	1.754733e+00	3.118800e+01	3.294273e+01
141	0.119445	0.0475555	0.679147	1.754733e+00	3.119595e+01	3.295068e+01
142	0.119445	0.0475555	0.679147	1.754733e+00	3.119595e+01	3.295068e+01
143	0.119445	0.0475555	0.679147	1.754733e+00	3.119595e+01	3.295068e+01
144	0.108061	0.0475555	0.690328	1.857307e+00	3.400775e+01	3.586505e+01
145	0.108061	0.0475555	0.695035	1.857307e+00	3.421395e+01	3.607126e+01
146	0.108061	0.0475555	0.695035	1.857307e+00	3.421395e+01	3.607126e+01
147	0.108061	0.0475555	0.700393	1.857307e+00	3.422465e+01	3.608196e+01
148	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
149	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
150	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
151	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
152	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
153	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
154	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
155	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
156	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
157	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
158	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
159	0.108061	0.0475555	0.697594	1.857307e+00	3.424850e+01	3.610581e+01
