iter	t1(1)	t2(1)	t3(1)	LnPrior	LnData	LnPosterior
5365	2.05078	4.94628	6.94316	-8.371143e-01	2.198137e+01	2.114425e+01
5370	2.05078	5.0435	6.86867	-7.141712e-01	2.067121e+01	1.995704e+01
5375	1.94615	5.04952	6.8625	-7.069118e-01	2.040447e+01	1.969756e+01
5380	1.94615	4.9857	6.96504	-8.721337e-01	2.241969e+01	2.154756e+01
5385	2.04015	4.89561	6.98316	-9.253178e-01	2.156572e+01	2.064040e+01
5390	2.04015	5.05382	7.02815	-1.000305e+00	2.234497e+01	2.134466e+01
5395	2.04015	4.9643	7.02815	-9.970601e-01	2.249978e+01	2.150272e+01
5400	2.02637	5.0222	7.03187	-1.001549e+00	2.265444e+01	2.165289e+01
5405	 1.89	4.97965	6.8464	-6.984173e-01	1.918855e+01	1.849014e+01
5410	 1.89	4.93832	7.07979	-1.137529e+00	2.061158e+01	1.947405e+01
5415	2.04215	5.0124	7.07979	-1.109582e+00	2.204555e+01	2.093597e+01
5420	2.04215	4.95835	6.92641	-8.040702e-01	2.195617e+01	2.115210e+01
5425	2.04215	4.98072	7.01389	-9.658734e-01	2.263507e+01	2.166920e+01
5430	1.92401	5.00769	7.01389	-9.732431e-01	2.225470e+01	2.128146e+01
5435	1.86431	5.03187	6.94318	-8.650696e-01	2.056477e+01	1.969970e+01
5440	1.82802	4.95461	6.94318	-8.894858e-01	1.931763e+01	1.842814e+01
5445	2.00725	4.99087	6.94318	-8.264857e-01	2.252044e+01	2.169396e+01
5450	2.00725	4.92116	7.01239	-9.710188e-01	2.221260e+01	2.124158e+01
5455	2.02569	4.80885	6.99876	-1.005323e+00	1.909173e+01	1.808640e+01
5460	2.02569	5.0485	6.99876	-9.369532e-01	2.257144e+01	2.163449e+01
5465	2.02569	4.96259	7.05482	-1.053166e+00	2.236166e+01	2.130849e+01
5470	1.9115	5.15457	6.8623	-7.593648e-01	1.774283e+01	1.698347e+01
5475	1.88186	5.04252	7.01542	-9.962511e-01	2.124701e+01	2.025075e+01
5480	1.97051	4.90507	7.11569	-1.211307e+00	2.051972e+01	1.930841e+01
5485	1.91629	4.87558	7.17906	-1.400627e+00	1.736010e+01	1.595948e+01
5490	1.96917	4.95201	7.01518	-9.707321e-01	2.250950e+01	2.153877e+01
5495	1.96917	4.88109	7.08285	-1.143005e+00	2.064502e+01	1.950201e+01
5500	1.96917	4.98407	7.00185	-9.395201e-01	2.274135e+01	2.180183e+01
5505	1.96917	5.04397	7.00185	-9.428788e-01	2.257860e+01	2.163572e+01
5510	1.96917	4.94973	7.07595	-1.103791e+00	2.193525e+01	2.083146e+01
5515	1.96917	5.08353	7.07595	-1.112691e+00	2.149958e+01	2.038689e+01
5520	1.96917	4.99611	7.01601	-9.678744e-01	2.274311e+01	2.177524e+01
5525	1.96917	5.03151	7.01601	-9.698302e-01	2.264793e+01	2.167810e+01
5530	1.9538	4.95355	7.01601	-9.745265e-01	2.240086e+01	2.142633e+01
5535	2.09306	5.01862	7.04679	-1.049367e+00	2.175192e+01	2.070255e+01
5540	2.09306	5.04324	7.1089	-1.195970e+00	2.062403e+01	1.942806e+01
5545	2.05754	5.05822	7.0517	-1.055546e+00	2.193778e+01	2.088223e+01
5550	1.99695	5.16746	7.11813	-1.253670e+00	1.865793e+01	1.740426e+01
5555	1.99695	4.97766	6.97246	-8.808455e-01	2.273355e+01	2.185271e+01
5560	1.99695	5.0755	7.07998	-1.117578e+00	2.166037e+01	2.054279e+01
5565	1.99695	4.92851	7.01374	-9.714943e-01	2.232505e+01	2.135356e+01
5570	1.84188	5.04163	7.01374	-1.014724e+00	2.014019e+01	1.912546e+01
5575	1.84188	4.98222	7.01903	-1.022820e+00	2.025985e+01	1.923703e+01
5580	1.90435	4.98198	7.01903	-9.911299e-01	2.186592e+01	2.087479e+01
5585	1.97566	4.98697	7.0235	-9.830374e-01	2.273430e+01	2.175126e+01
