Results of Simulation 1

Time	theta_1	theta_2
46.8	59.8737	60.1263
47	60.1237	60.3763
47.2	60.3737	60.6263
47.4	60.6237	60.8763
47.6	60.8737	61.1263
47.8	61.1237	61.3763
48	61.3737	61.6263
48.2	61.6237	61.8763
48.4	61.8737	62.1263
48.6	62.1237	62.3763
48.8	62.3737	62.6263
49	62.6237	62.8763
49.2	62.8737	63.1263
49.4	63.1237	63.3763
49.6	63.3737	63.6263
49.8	63.6237	63.8763
50	63.8737	64.1263
50.2	64.1237	64.3763
50.4	64.3737	64.6263
50.6	64.6237	64.8763
50.8	64.8737	65.1263
51	65.1237	65.3763
51.2	65.3737	65.6263
51.4	65.6237	65.8763
51.6	65.8737	66.1263
51.8	66.1237	66.3763
52	66.3737	66.6263
52.2	66.6237	66.8763
52.4	66.8737	67.1263
52.6	67.1237	67.3763
52.8	67.3737	67.6263
53	67.6237	67.8763
53.2	67.8737	68.1263
53.4	68.1237	68.3763
53.6	68.3737	68.6263
53.8	68.6237	68.8763
54	68.8737	69.1263
54.2	69.1237	69.3763
54.4	69.3737	69.6263
54.6	69.6237	69.8763
54.8	69.8737	70.1263
55	70.1237	70.3763
55.2	70.3737	70.6263
55.4	70.6237	70.8763
55.6	70.8737	71.1263
55.8	71.1237	71.3763
56	71.3737	71.6263
56.2	71.6237	71.8763
56.4	71.8737	72.1263
56.6	72.1237	72.3763
56.8	72.3737	72.6263
57	72.6237	72.8763
57.2	72.8737	73.1263
57.4	73.1237	73.3763
57.6	73.3737	73.6263
57.8	73.6237	73.8763
58	73.8737	74.1263
58.2	74.1237	74.3763
58.4	74.3737	74.6263
58.6	74.6237	74.8763
58.8	74.8737	75.1263
59	75.1237	75.3763
59.2	75.3737	75.6263
59.4	75.6237	75.8763
59.6	75.8737	76.1263
59.8	76.1237	76.3763
60	76.3737	76.6263
60.2	76.6237	76.8763
60.4	76.8737	77.1263
60.6	77.1237	77.3763
60.8	77.3737	77.6263
61	77.6237	77.8763
61.2	77.8737	78.1263
61.4	78.1237	78.3763
61.6	78.3737	78.6263
61.8	78.6237	78.8763
62	78.8737	79.1263
62.2	79.1237	79.3763
62.4	79.3737	79.6263
62.6	79.6237	79.8763
62.8	79.8737	80.1263
63	80.1237	80.3763
63.2	80.3737	80.6263
63.4	80.6237	80.8763
63.6	80.8737	81.1263
63.8	81.1237	81.3763
64	81.3737	81.6263
64.2	81.6237	81.8763
64.4	81.8737	82.1263
64.6	82.1237	82.3763
64.8	82.3737	82.6263
65	82.6237	82.8763
65.2	82.8737	83.1263
65.4	83.1237	83.3763
65.6	83.3737	83.6263
65.8	83.6237	83.8763
66	83.8737	84.1263
66.2	84.1237	84.3763
66.4	84.3737	84.6263
66.6	84.6237	84.8763
66.8	84.8737	85.1263
67	85.1237	85.3763
67.2	85.3737	85.6263
67.4	85.6237	85.8763
67.6	85.8737	86.1263
67.8	86.1237	86.3763
68	86.3737	86.6263
68.2	86.6237	86.8763
68.4	86.8737	87.1263
68.6	87.1237	87.3763
68.8	87.3737	87.6263
69	87.6237	87.8763
69.2	87.8737	88.1263
69.4	88.1237	88.3763
69.6	88.3737	88.6263
69.8	88.6237	88.8763
70	88.8737	89.1263
70.2	89.1237	89.3763
70.4	89.3737	89.6263
70.6	89.6237	89.8763
70.8	89.8737	90.1263
71	90.1237	90.3763
71.2	90.3737	90.6263
71.4	90.6237	90.8763
71.6	90.8737	91.1263
71.8	91.1237	91.3763
72	91.3737	91.6263
72.2	91.6237	91.8763
72.4	91.8737	92.1263
72.6	92.1237	92.3763
72.8	92.3737	92.6263
73	92.6237	92.8763
73.2	92.8737	93.1263
73.4	93.1237	93.3763
73.6	93.3737	93.6263
73.8	93.6237	93.8763
74	93.8737	94.1263
74.2	94.1237	94.3763
74.4	94.3737	94.6263
74.6	94.6237	94.8763
74.8	94.8737	95.1263
75	95.1237	95.3763
75.2	95.3737	95.6263
75.4	95.6237	95.8763
75.6	95.8737	96.1263
75.8	96.1237	96.3763
76	96.3737	96.6263
76.2	96.6237	96.8763
76.4	96.8737	97.1263
76.6	97.1237	97.3763
76.8	97.3737	97.6263
77	97.6237	97.8763
77.2	97.8737	98.1263
77.4	98.1237	98.3763
77.6	98.3737	98.6263
77.8	98.6237	98.8763
78	98.8737	99.1263
78.2	99.1237	99.3763
78.4	99.3737	99.6263
78.6	99.6237	99.8763
78.8	99.8737	100.126
79	100.124	100.376
79.2	100.374	100.626
79.4	100.624	100.876
79.6	100.874	101.126
79.8	101.124	101.376
80	101.374	101.626
80.2	101.624	101.876
80.4	101.874	102.126
80.6	102.124	102.376
80.8	102.374	102.626
81	102.624	102.876
81.2	102.874	103.126
81.4	103.124	103.376
81.6	103.374	103.626
81.8	103.624	103.876
82	103.874	104.126
82.2	104.124	104.376
82.4	104.374	104.626
82.6	104.624	104.876
82.8	104.874	105.126
83	105.124	105.376
83.2	105.374	105.626
83.4	105.624	105.876
83.6	105.874	106.126
83.8	106.124	106.376
84	106.374	106.626
84.2	106.624	106.876
84.4	106.874	107.126
84.6	107.124	107.376
84.8	107.374	107.626
85	107.624	107.876
85.2	107.874	108.126
85.4	108.124	108.376
85.6	108.374	108.626
85.8	108.624	108.876
86	108.874	109.126
86.2	109.124	109.376
86.4	109.374	109.626
86.6	109.624	109.876
86.8	109.874	110.126
87	110.124	110.376
87.2	110.374	110.626
87.4	110.624	110.876
87.6	110.874	111.126
87.8	111.124	111.376
88	111.374	111.626
88.2	111.624	111.876
88.4	111.874	112.126
88.6	112.124	112.376
88.8	112.374	112.626
89	112.624	112.876
89.2	112.874	113.126
89.4	113.124	113.376
89.6	113.374	113.626
89.8	113.624	113.876
90	113.874	114.126
90.2	114.124	114.376
90.4	114.374	114.626
90.6	114.624	114.876
90.8	114.874	115.126
91	115.124	115.376
91.2	115.374	115.626
91.4	115.624	115.876
91.6	115.874	116.126
91.8	116.124	116.376
92	116.374	116.626
92.2	116.624	116.876
92.4	116.874	117.126
92.6	117.124	117.376
92.8	117.374	117.626
93	117.624	117.876
93.2	117.874	118.126
93.4	118.124	118.376
93.6	118.374	118.626
93.8	118.624	118.876
94	118.874	119.126
94.2	119.124	119.376
94.4	119.374	119.626
94.6	119.624	119.876
94.8	119.874	120.126
95	120.124	120.376
95.2	120.374	120.626
95.4	120.624	120.876
95.6	120.874	121.126
95.8	121.124	121.376
96	121.374	121.626
96.2	121.624	121.876
96.4	121.874	122.126
96.6	122.124	122.376
96.8	122.374	122.626
97	122.624	122.876
97.2	122.874	123.126
97.4	123.124	123.376
97.6	123.374	123.626
97.8	123.624	123.876
98	123.874	124.126
98.2	124.124	124.376
98.4	124.374	124.626
98.6	124.624	124.876
98.8	124.874	125.126
99	125.124	125.376
99.2	125.374	125.626
99.4	125.624	125.876
99.6	125.874	126.126
99.8	126.124	126.376
100	126.374	126.626
100.2	126.624	126.876
100.4	126.874	127.126
100.6	127.124	127.376
100.8	127.374	127.626
101	127.624	127.876
101.2	127.874	128.126
101.4	128.124	128.376
101.6	128.374	128.626
101.8	128.624	128.876
102	128.874	129.126
102.2	129.124	129.376
102.4	129.374	129.626
102.6	129.624	129.876
102.8	129.874	130.126
103	130.124	130.376
103.2	130.374	130.626
103.4	130.624	130.876
103.6	130.874	131.126
103.8	131.124	131.376
104	131.374	131.626
104.2	131.624	131.876
104.4	131.874	132.126
104.6	132.124	132.376
104.8	132.374	132.626
105	132.624	132.876
105.2	132.874	133.126
105.4	133.124	133.376
105.6	133.374	133.626
105.8	133.624	133.876
106	133.874	134.126
106.2	134.124	134.376
106.4	134.374	134.626
106.6	134.624	134.876
106.8	134.874	135.126
107	135.124	135.376
107.2	135.374	135.626
107.4	135.624	135.876
107.6	135.874	136.126
107.8	136.124	136.376
108	136.374	136.626
108.2	136.624	136.876
108.4	136.874	137.126
108.6	137.124	137.376
108.8	137.374	137.626
109	137.624	137.876
109.2	137.874	138.126
109.4	138.124	138.376
109.6	138.374	138.626
109.8	138.624	138.876
110	138.874	139.126
110.2	139.124	139.376
110.4	139.374	139.626
110.6	139.624	139.876
110.8	139.874	140.126
111	140.124	140.376
111.2	140.374	140.626
111.4	140.624	140.876
111.6	140.874	141.126
111.8	141.124	141.376
112	141.374	141.626
112.2	141.624	141.876
112.4	141.874	142.126
112.6	142.124	142.376
112.8	142.374	142.626
113	142.624	142.876
113.2	142.874	143.126
113.4	143.124	143.376
113.6	143.374	143.626
113.8	143.624	143.876
114	143.874	144.126
114.2	144.124	144.376
114.4	144.374	144.626
114.6	144.624	144.876
114.8	144.874	145.126
115	145.124	145.376
115.2	145.374	145.626
115.4	145.624	145.876
115.6	145.874	146.126
115.8	146.124	146.376
116	146.374	146.626
116.2	146.624	146.876
116.4	146.874	147.126
116.6	147.124	147.376
116.8	147.374	147.626
117	147.624	147.876
117.2	147.874	148.126
117.4	148.124	148.376
117.6	148.374	148.626
117.8	148.624	148.876
118	148.874	149.126
118.2	149.124	149.376
118.4	149.374	149.626
118.6	149.624	149.876
118.8	149.874	150.126
119	150.124	150.376
119.2	150.374	150.626
119.4	150.624	150.876
119.6	150.874	151.126
119.8	151.124	151.376
120	151.374	151.626
120.2	151.624	151.876
120.4	151.874	152.126
120.6	152.124	152.376
120.8	152.374	152.626
121	152.624	152.876
121.2	152.874	153.126
121.4	153.124	153.376
121.6	153.374	153.626
121.8	153.624	153.876
122	153.874	154.126
122.2	154.124	154.376
122.4	154.374	154.626
122.6	154.624	154.876
122.8	154.874	155.126
123	155.124	155.376
123.2	155.374	155.626
123.4	155.624	155.876
123.6	155.874	156.126
123.8	156.124	156.376
124	156.374	156.626
124.2	156.624	156.876
124.4	156.874	157.126
124.6	157.124	157.376
124.8	157.374	157.626
125	157.624	157.876
125.2	157.874	158.126
125.4	158.124	158.376
125.6	158.374	158.626
125.8	158.624	158.876
126	158.874	159.126
126.2	159.124	159.376
126.4	159.374	159.626
126.6	159.624	159.876
126.8	159.874	160.126
127	160.124	160.376
127.2	160.374	160.626
127.4	160.624	160.876
127.6	160.874	161.126
127.8	161.124	161.376
128	161.374	161.626
128.2	161.624	161.876
128.4	161.874	162.126
128.6	162.124	162.376
128.8	162.374	162.626
129	162.624	162.876
129.2	162.874	163.126
129.4	163.124	163.376
129.6	163.374	163.626
129.8	163.624	163.876
130	163.874	164.126
130.2	164.124	164.376
130.4	164.374	164.626
130.6	164.624	164.876
130.8	164.874	165.126
131	165.124	165.376
131.2	165.374	165.626
