iter	a(1)	b(1)	c(1)	LnPrior	LnData	LnPosterior
3450	5.98685	3.15119	-68.7526	-9.903488e+00	-3.542345e+01	-4.532694e+01
3500	6.00696	3.02701	-68.4486	-9.903488e+00	-3.513856e+01	-4.504205e+01
3550	 6.03	3.01322	-68.8966	-9.903488e+00	-3.569069e+01	-4.559418e+01
3600	6.05109	2.96248	-68.7896	-9.903488e+00	-3.436485e+01	-4.426834e+01
3650	5.99221	3.00561	-68.4329	-9.903488e+00	-3.475163e+01	-4.465511e+01
3700	6.05198	2.94299	-68.8289	-9.903488e+00	-3.498210e+01	-4.488559e+01
3750	6.08297	2.90904	-68.9777	-9.903488e+00	-3.475883e+01	-4.466232e+01
3800	6.05043	2.86921	-68.5089	-9.903488e+00	-3.464765e+01	-4.455114e+01
3850	6.01273	2.99336	-68.6962	-9.903488e+00	-3.623769e+01	-4.614118e+01
3900	5.9854	3.24874	-68.9837	-9.903488e+00	-3.722922e+01	-4.713271e+01
3950	5.98858	3.11271	-68.4499	-9.903488e+00	-3.755431e+01	-4.745780e+01
4000	5.93149	3.14987	-68.2868	-9.903488e+00	-3.565242e+01	-4.555591e+01
4050	5.8485	3.31843	-68.1156	-9.903488e+00	-3.944081e+01	-4.934429e+01
4100	5.93216	3.26556	-68.7868	-9.903488e+00	-3.837244e+01	-4.827593e+01
4150	5.9581	2.99552	-68.0655	-9.903488e+00	-3.468779e+01	-4.459128e+01
4200	5.98286	3.12408	-68.6648	-9.903488e+00	-3.513488e+01	-4.503836e+01
4250	5.97202	2.95893	-67.9437	-9.903488e+00	-3.436664e+01	-4.427013e+01
4300	5.94708	2.99511	-67.7838	-9.903488e+00	-3.473990e+01	-4.464338e+01
4350	5.95531	2.83602	-67.4616	-9.903488e+00	-3.435671e+01	-4.426020e+01
4400	5.92214	2.96887	-67.5132	-9.903488e+00	-3.426140e+01	-4.416489e+01
4450	5.97233	2.92278	-68.0192	-9.903488e+00	-3.524458e+01	-4.514807e+01
4500	5.94095	2.92592	-67.578	-9.903488e+00	-3.413787e+01	-4.404135e+01
4550	5.94362	3.07739	-68.1202	-9.903488e+00	-3.481073e+01	-4.471422e+01
4600	5.92345	3.04817	-67.8409	-9.903488e+00	-3.464463e+01	-4.454811e+01
4650	5.98345	2.94856	-68.2068	-9.903488e+00	-3.518383e+01	-4.508731e+01
4700	5.96576	2.98119	-67.8707	-9.903488e+00	-3.527792e+01	-4.518140e+01
4750	6.02253	2.68132	-67.5856	-9.903488e+00	-3.585537e+01	-4.575886e+01
4800	5.96316	2.79389	-67.2177	-9.903488e+00	-3.553836e+01	-4.544185e+01
4850	5.9751	2.68844	-67.1554	-9.903488e+00	-3.545573e+01	-4.535922e+01
4900	6.001	2.76151	-67.6805	-9.903488e+00	-3.510064e+01	-4.500413e+01
4950	5.96703	2.9711	-67.797	-9.903488e+00	-3.615370e+01	-4.605719e+01
5000	5.95005	2.80225	-67.1536	-9.903488e+00	-3.497529e+01	-4.487878e+01
